species/#orthologs_from_species_in_group	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26-50	51-75	76-100	101-150	151-200	201-250	251-500	501-750	751-1000	1001-10000
AAEG.longest_only.faa	10499	9594	852	171	76	41	23	16	15	12	7	3	0	6	1	4	1	3	1	0	3	5	0	0	2	0	3	0	3	1	0	0	0	0	0	0

AALB.longest_only.faa	11390	9410	363	87	33	15	9	9	3	4	7	1	2	2	0	0	1	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0

AEAL.longest_only.faa	10311	4942	3952	1370	340	113	61	46	38	26	14	17	12	6	9	8	5	6	3	2	3	3	6	6	2	2	30	7	1	0	0	1	0	0	0	0

ASTE.longest_only.faa	11299	9091	718	105	50	19	13	7	7	2	5	6	3	1	3	1	2	1	0	2	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0

BCOP.longest_only.faa	12059	8363	581	159	61	29	23	15	6	9	6	3	4	5	4	0	1	1	1	0	0	0	2	0	0	0	8	1	0	1	0	0	0	0	0	0

BTRY.longest_only.faa	10647	9893	482	129	50	28	19	19	8	11	6	11	6	1	6	3	1	0	4	1	0	0	0	4	1	0	9	2	1	0	0	0	0	0	0	0

CCAP.longest_only.faa	12507	8110	503	99	37	25	19	14	10	2	6	1	3	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

CPIP.longest_only.faa	10072	9833	1000	172	82	53	19	25	16	11	9	5	7	3	3	4	3	1	4	0	2	2	1	0	2	0	9	0	2	1	0	1	0	0	0	0

CQUI.longest_only.faa	10180	10248	540	147	66	47	25	17	14	12	7	5	5	1	3	2	1	5	2	0	1	2	0	1	1	0	6	2	1	0	0	0	1	0	0	0

DALB.longest_only.faa	9981	10701	427	97	36	25	15	18	8	3	6	3	4	4	1	1	0	1	3	2	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0

DANA.longest_only.faa	9000	11721	399	110	35	24	19	8	7	2	1	1	2	3	2	0	0	1	1	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0

DBIA.longest_only.faa	8571	12156	418	91	42	23	16	9	1	3	2	1	0	0	2	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0

DBUS.longest_only.faa	9984	10832	376	76	27	19	6	5	8	3	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

DELE.longest_only.faa	7910	12455	747	128	45	24	13	5	3	3	1	0	1	1	1	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

DERE.longest_only.faa	8687	12114	389	79	27	13	10	8	3	0	1	5	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

DEUG.longest_only.faa	7904	12708	505	116	46	17	10	8	13	3	2	0	0	1	2	1	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0

DFIC.longest_only.faa	8260	12272	587	106	50	18	15	12	6	2	3	1	2	2	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0

DGUA.longest_only.faa	9148	11673	375	69	29	19	5	8	5	1	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

DHYD.longest_only.faa	9590	11039	534	91	35	17	12	3	4	3	1	2	2	1	1	1	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0

DKIK.longest_only.faa	8295	12253	548	134	40	20	14	13	7	3	3	2	0	0	2	1	0	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0

DMAU.longest_only.faa	8509	12233	396	108	39	13	17	8	4	2	1	1	2	2	1	1	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0

DMEL.longest_only.faa	8580	12202	390	89	30	10	14	7	5	1	2	2	1	1	1	1	0	1	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0

DMIR.longest_only.faa	8763	10239	1764	256	119	45	34	23	24	13	4	6	4	4	4	5	0	1	5	1	1	0	3	2	0	0	15	6	1	0	0	0	0	0	0	0

DNOV.longest_only.faa	9413	11319	428	87	34	23	11	10	5	1	0	1	1	0	0	2	0	0	0	0	0	1	0	1	3	0	2	0	0	0	0	0	0	0	0	0

DPER.longest_only.faa	8941	11588	556	128	40	25	12	13	9	4	2	4	2	2	3	4	0	0	0	0	0	0	0	2	1	0	5	1	0	0	0	0	0	0	0	0

DPSE.longest_only.faa	8820	11748	526	120	48	21	17	8	8	1	6	1	1	5	2	0	1	2	3	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0

DSAN.longest_only.faa	8587	12187	393	81	36	18	12	5	3	5	1	2	0	2	2	0	2	2	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0

DSEC.longest_only.faa	8525	12222	384	106	42	23	9	13	4	0	2	2	1	2	0	1	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0

DSER.longest_only.faa	8732	11668	691	141	51	17	10	9	3	2	2	0	0	2	3	2	1	0	0	2	0	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0

DSIM.longest_only.faa	8508	12245	389	99	42	18	10	7	6	3	1	1	1	2	1	1	0	2	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0

DSUB.longest_only.faa	9076	11725	385	76	27	19	12	8	3	2	2	1	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

DSUP.longest_only.faa	8506	12015	558	114	47	28	16	15	10	4	6	3	2	1	2	2	3	0	1	0	0	1	0	0	0	1	3	4	0	0	0	0	0	0	0	0

DSUZ.longest_only.faa	8441	11743	867	125	49	33	23	17	12	5	1	0	3	2	4	2	3	1	2	1	1	0	2	0	1	0	3	1	0	0	0	0	0	0	0	0

DVIR.longest_only.faa	9271	11286	578	105	35	26	7	10	7	1	2	1	1	2	1	0	0	1	0	0	1	0	1	0	1	1	4	0	0	0	0	0	0	0	0	0

DYAK.longest_only.faa	8558	12216	380	86	36	20	18	6	4	4	0	1	3	0	1	0	1	0	0	4	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0

HILL.longest_only.faa	11883	8831	346	91	49	20	31	13	9	5	12	6	4	4	9	1	0	0	0	1	5	0	2	1	1	0	16	0	1	1	0	0	0	0	0	0

SLEB.longest_only.faa	9779	10901	462	103	42	18	9	6	5	3	1	2	0	2	2	1	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0

