Orthogroup	DNOV.longest_only	DPER.longest_only
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER, LOC6587480|XP_002013644.2|DPER
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC6596552|XP_002021689.1|DPER
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER
OG0000005	LOC115770819|XP_030572101.1|DNOV	LOC113567403|XP_026850931.1|DPER
OG0000006	LOC115761879|XP_030559740.1|DNOV	LOC113567247|XP_026850217.1|DPER
OG0000006	LOC115768961|XP_030569544.1|DNOV	LOC113567411|XP_026850946.1|DPER
OG0000006	LOC115770605|XP_030571802.1|DNOV	LOC113567401|XP_026850929.1|DPER
OG0000006	LOC115770615|XP_030571811.1|DNOV, LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV	LOC113567402|XP_026850930.1|DPER
OG0000006	LOC115770816|XP_030572098.1|DNOV	LOC113567395|XP_026850912.1|DPER
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC6595910|XP_002021056.1|DPER
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC6591822|XP_002016972.1|DPER
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC113567250|XP_026850220.1|DPER
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC6599733|XP_002024838.2|DPER
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC6591544|XP_002017188.1|DPER
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC6589910|XP_026840670.1|DPER
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC6589909|XP_002016518.1|DPER
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC6589908|XP_026841658.1|DPER
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC6589911|XP_026840671.1|DPER
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC113564954|XP_026840479.1|DPER
