Orthogroup	DERE.longest_only	DPER.longest_only
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC6587480|XP_002013644.2|DPER
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC6590049|XP_002015522.1|DPER
