Orthogroup	DALB.longest_only	DPSE.longest_only
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC6896672|XP_033232290.1|DPSE, LOC26532949|XP_015039423.1|DPSE, LOC6896676|XP_033241757.1|DPSE, LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE, LOC117183963|XP_033235597.1|DPSE, LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE, LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE, LOC6897227|XP_002137399.2|DPSE, LOC6902907|XP_033236216.1|DPSE, LOC6898538|XP_033233460.1|DPSE
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE, LOC6897761|XP_002137866.2|DPSE, LOC6897749|XP_033232309.1|DPSE, LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE, LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE, LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE
OG0000001	LOC117573170|XP_034112033.1|DALB	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE
OG0000001	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE, LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE, LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC6902590|XP_002133118.2|DPSE
OG0000005	LOC117564293|XP_034098882.1|DALB	LOC6903936|XP_033233874.1|DPSE
OG0000005	LOC117564295|XP_034098885.1|DALB	LOC117183560|XP_033233682.1|DPSE
OG0000005	LOC117564270|XP_034098864.1|DALB	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE
OG0000005	LOC117566019|XP_034101338.1|DALB	LOC117185613|XP_033241643.1|DPSE
OG0000006	LOC117563579|XP_034097856.1|DALB	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC117564283|XP_034098872.1|DALB, LOC117564285|XP_034098875.1|DALB, LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC117571629|XP_034109744.1|DALB	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC4803283|XP_001360048.3|DPSE
