Orthogroup	DPER.longest_only	DNOV.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER, LOC6587480|XP_002013644.2|DPER	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC115758743|XP_030555359.1|DNOV
