HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N10.HOG0000000	OG0000001	n26								LOC120417099|XP_039435012.1|CPIP	LOC119770310|XP_038120887.1|CQUI																												
N10.HOG0000001	OG0000001	n67									LOC119770743|XP_038122101.1|CQUI																												
N10.HOG0000002	OG0000001	n168								LOC120417801|XP_039435934.1|CPIP	LOC119766275|XP_038106648.1|CQUI																												
N10.HOG0000003	OG0000001	n170								LOC120413964|XP_039430904.1|CPIP	LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI																												
N10.HOG0000004	OG0000001	n174								LOC120419883|XP_039438681.1|CPIP, LOC120424000|XP_039443942.1|CPIP	LOC119769226|XP_038117080.1|CQUI																												
N10.HOG0000005	OG0000001	n177								LOC120415385|XP_039432843.1|CPIP	LOC119770798|XP_038122239.1|CQUI, LOC119765595|XP_038105755.1|CQUI, LOC119769119|XP_038116947.1|CQUI																												
N10.HOG0000006	OG0000001	n206								LOC120413315|XP_039430017.1|CPIP	LOC119766512|XP_038107029.1|CQUI																												
N10.HOG0000007	OG0000001	n207								LOC120423043|XP_039442644.1|CPIP	LOC119766149|XP_038106477.1|CQUI																												
N10.HOG0000008	OG0000001	n210								LOC120426566|XP_039447276.1|CPIP	LOC119769328|XP_038117267.1|CQUI																												
N10.HOG0000009	OG0000001	n216								LOC120426978|XP_039447730.1|CPIP	LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI																												
N10.HOG0000010	OG0000001	n218								LOC120431423|XP_039452479.1|CPIP	LOC119769104|XP_038116932.1|CQUI																												
N10.HOG0000011	OG0000001	n229								LOC120425893|XP_039446445.1|CPIP	LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI																												
N10.HOG0000012	OG0000001	n235								LOC120426987|XP_039447736.1|CPIP	LOC119770193|XP_038120567.1|CQUI																												
N10.HOG0000013	OG0000001	n236								LOC120431421|XP_039452476.1|CPIP	LOC119769976|XP_038119868.1|CQUI																												
N10.HOG0000014	OG0000001	n237								LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP	LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI																												
N10.HOG0000015	OG0000001	n240								LOC120412455|XP_039428860.1|CPIP	LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI																												
N10.HOG0000016	OG0000001	n242								LOC120425674|XP_039446191.1|CPIP	LOC119770945|XP_038122397.1|CQUI																												
N10.HOG0000017	OG0000001	n243								LOC120430157|XP_039451174.1|CPIP	LOC119766213|XP_038106576.1|CQUI																												
N10.HOG0000018	OG0000001	n246								LOC120416259|XP_039433896.1|CPIP	LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI																												
