Orthogroup	DALB.longest_only	DBIA.longest_only
OG0000000	LOC117572321|XP_034110946.1|DALB	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC117567230|XP_034102951.1|DALB	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA, LOC108024997|XP_016950742.1|DBIA, LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA, LOC108024999|XP_016950744.1|DBIA, LOC108031001|XP_016959690.1|DBIA, LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA, LOC108030080|XP_016958186.1|DBIA, LOC108033578|XP_016963412.1|DBIA, LOC108025172|XP_016950938.1|DBIA, LOC108025165|XP_016950931.1|DBIA, LOC108025419|XP_016951390.1|DBIA, LOC108032345|XP_016961644.1|DBIA, LOC108023058|XP_016947798.1|DBIA, LOC108028940|XP_016956448.1|DBIA, LOC108033274|XP_016963030.1|DBIA, LOC108033239|XP_016962994.1|DBIA
OG0000000	LOC117576780|XP_034117723.1|DALB	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA
OG0000000	LOC117566658|XP_034102093.1|DALB	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB	LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA
OG0000000	LOC117570317|XP_034107750.1|DALB	LOC108035120|XP_016966040.1|DBIA, LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA
OG0000002	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA, LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
