Orthogroup	CPIP.longest_only	CQUI.longest_only
OG0000001	LOC120417099|XP_039435012.1|CPIP	LOC119770310|XP_038120887.1|CQUI
OG0000001	LOC120417801|XP_039435934.1|CPIP	LOC119766275|XP_038106648.1|CQUI
OG0000001	LOC120413964|XP_039430904.1|CPIP	LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI
OG0000001	LOC120419883|XP_039438681.1|CPIP, LOC120424000|XP_039443942.1|CPIP	LOC119769226|XP_038117080.1|CQUI
OG0000001	LOC120415385|XP_039432843.1|CPIP	LOC119770798|XP_038122239.1|CQUI, LOC119765595|XP_038105755.1|CQUI, LOC119769119|XP_038116947.1|CQUI
OG0000001	LOC120413315|XP_039430017.1|CPIP	LOC119766512|XP_038107029.1|CQUI
OG0000001	LOC120423043|XP_039442644.1|CPIP	LOC119766149|XP_038106477.1|CQUI
OG0000001	LOC120426566|XP_039447276.1|CPIP	LOC119769328|XP_038117267.1|CQUI
OG0000001	LOC120426978|XP_039447730.1|CPIP	LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI
OG0000001	LOC120431423|XP_039452479.1|CPIP	LOC119769104|XP_038116932.1|CQUI
OG0000001	LOC120425893|XP_039446445.1|CPIP	LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI
OG0000001	LOC120426987|XP_039447736.1|CPIP	LOC119770193|XP_038120567.1|CQUI
OG0000001	LOC120431421|XP_039452476.1|CPIP	LOC119769976|XP_038119868.1|CQUI
OG0000001	LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP	LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI
OG0000001	LOC120412455|XP_039428860.1|CPIP	LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI
OG0000001	LOC120425674|XP_039446191.1|CPIP	LOC119770945|XP_038122397.1|CQUI
OG0000001	LOC120430157|XP_039451174.1|CPIP	LOC119766213|XP_038106576.1|CQUI
OG0000001	LOC120416259|XP_039433896.1|CPIP	LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI
OG0000001	LOC120427814|XP_039448672.1|CPIP	LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI
OG0000001	LOC120413730|XP_039430628.1|CPIP	LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI
OG0000001	LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP	LOC119769896|XP_038119619.1|CQUI
OG0000001	LOC120414226|XP_039431271.1|CPIP	LOC119769590|XP_038118548.1|CQUI, LOC119766486|XP_038106987.1|CQUI, LOC119766442|XP_038106923.1|CQUI, LOC119769517|XP_038118237.1|CQUI
OG0000001	LOC120428107|XP_039449023.1|CPIP	LOC119769314|XP_038117230.1|CQUI
OG0000001	LOC120428034|XP_039448936.1|CPIP, LOC120426776|XP_039447483.1|CPIP	LOC119769852|XP_038119509.1|CQUI
OG0000001	LOC120419550|XP_039438196.1|CPIP	LOC119769040|XP_038116852.1|CQUI
OG0000001	LOC120418570|XP_039436949.1|CPIP	LOC119769325|XP_038117259.1|CQUI, LOC119766508|XP_038107025.1|CQUI, LOC119769297|XP_038117200.1|CQUI
OG0000001	LOC120429758|XP_039450744.1|CPIP, LOC120423721|XP_039443558.1|CPIP	LOC119770379|XP_038121043.1|CQUI
OG0000001	LOC120424822|XP_039444975.1|CPIP, LOC120422127|XP_039441435.1|CPIP	LOC119766157|XP_038106485.1|CQUI, LOC119769097|XP_038116927.1|CQUI
OG0000001	LOC120424002|XP_039443945.1|CPIP, LOC120431502|XP_039452539.1|CPIP	LOC119766449|XP_038106933.1|CQUI, LOC119767864|XP_038113516.1|CQUI
OG0000001	LOC120431875|XP_039452940.1|CPIP	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI
OG0000001	LOC120427923|XP_039448796.1|CPIP	LOC119765936|XP_038106134.1|CQUI
OG0000001	LOC120413598|XP_039430439.1|CPIP	LOC119766511|XP_038107028.1|CQUI
OG0000001	LOC120416220|XP_039433853.1|CPIP, LOC120427231|XP_039448028.1|CPIP, LOC120415698|XP_039433224.1|CPIP	LOC119768974|XP_038116762.1|CQUI, LOC119770754|XP_038122126.1|CQUI, LOC119768917|XP_038116638.1|CQUI
OG0000001	LOC120426893|XP_039447632.1|CPIP, LOC120414714|XP_039431954.1|CPIP, LOC120413348|XP_039430064.1|CPIP	LOC119766026|XP_038106289.1|CQUI, LOC119771145|XP_038122496.1|CQUI, LOC119770320|XP_038120912.1|CQUI
