Orthogroup	DANA.longest_only	BTRY.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA, LOC6494335|XP_001960511.2|DANA	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA, LOC26515012|XP_032305331.1|DANA, LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA, LOC6503296|XP_001967564.2|DANA, LOC26514039|XP_032307416.1|DANA, LOC6502666|XP_032305659.1|DANA, LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA, LOC26514259|XP_032305722.1|DANA, LOC6500855|XP_032305607.1|DANA, LOC6497917|XP_001961708.2|DANA, LOC26514098|XP_032306915.1|DANA	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA, LOC6498897|XP_032305704.1|DANA, LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA, LOC6498894|XP_001955724.2|DANA, LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA, LOC6497530|XP_001961898.2|DANA, LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC6495484|XP_001958947.1|DANA, LOC6496624|XP_001961285.3|DANA	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC120770285|XP_039953555.1|BTRY
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY
OG0000004	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
OG0000005	LOC6506069|XP_001967796.1|DANA	LOC120767523|XP_039949552.1|BTRY
OG0000005	LOC116655987|XP_032310872.1|DANA	LOC120767518|XP_039949546.1|BTRY
OG0000005	LOC116655430|XP_032309219.1|DANA	LOC120767516|XP_039949544.1|BTRY
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY
OG0000006	LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC120778027|XP_039965634.1|BTRY
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC6504215|XP_001965139.1|DANA, LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA, LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA, LOC6504214|XP_001965140.1|DANA, LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA, LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC120778217|XP_039965948.1|BTRY
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC6500399|XP_001953138.1|DANA, LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA, LOC6506633|XP_001957500.1|DANA	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC120767531|XP_039949557.1|BTRY
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
