Orthogroup	DBUS.longest_only	DSAN.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC120454169|XP_039495171.1|DSAN
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC120448038|XP_039485719.1|DSAN
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC120458379|XP_039501933.1|DSAN
