Orthogroup	DSER.longest_only	DBUS.longest_only
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108601273|XP_017844662.1|DBUS
OG0000001	LOC110187736|XP_020812852.1|DSER	LOC108603731|XP_033150745.1|DBUS
OG0000002	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC110177811|XP_020800360.1|DSER	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC110186309|XP_020811090.1|DSER	LOC108601444|XP_017844830.1|DBUS
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC110182421|XP_020806117.1|DSER, LOC110180707|XP_020804047.1|DSER, LOC110180709|XP_020804049.1|DSER, LOC110181329|XP_020804707.1|DSER, LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC110185215|XP_020809607.1|DSER	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC110178863|XP_020801799.1|DSER	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC110178859|XP_020801786.1|DSER	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC110190967|XP_020817320.1|DSER	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC110176037|XP_020797910.1|DSER	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000015	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC108599156|XP_017841431.1|DBUS
OG0000019	LOC110186753|XP_020811674.1|DSER	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC110186746|XP_020811668.1|DSER	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC110186754|XP_020811675.1|DSER	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC110180622|XP_020803965.1|DSER	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC110177907|XP_020800536.1|DSER	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC110188311|XP_020813678.1|DSER	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC110176976|XP_020799142.1|DSER	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC110190608|XP_020816860.1|DSER	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC110185921|XP_020810593.1|DSER	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC110185929|XP_020810602.1|DSER	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC110189708|XP_020815547.1|DSER, LOC110190954|XP_020817297.1|DSER, LOC110188628|XP_020814064.1|DSER	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC110189687|XP_020815520.1|DSER, LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC110184879|XP_020809185.1|DSER	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC110185768|XP_020810429.1|DSER	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC110181782|XP_020805320.1|DSER	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC110182039|XP_020805628.1|DSER	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC110181937|XP_020805533.1|DSER	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC110190236|XP_020816258.1|DSER	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER, LOC110177296|XP_020799617.1|DSER	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC110177417|XP_020799793.1|DSER	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC110186252|XP_020810992.1|DSER	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC110191593|XP_020818136.1|DSER, LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER, LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC110178672|XP_020801529.1|DSER	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC110187537|XP_020812593.1|DSER	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER, LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC110180463|XP_020803800.1|DSER	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC110176287|XP_020798269.1|DSER	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC110189583|XP_020815375.1|DSER	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC110184762|XP_020809052.1|DSER	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC110189698|XP_020815532.1|DSER	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC110190447|XP_020816607.1|DSER	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC110190454|XP_020816613.1|DSER	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC110188535|XP_020813941.1|DSER	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC110188465|XP_020813853.1|DSER	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC110188330|XP_020813697.1|DSER	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC110188331|XP_020813698.1|DSER	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC110188656|XP_020814093.1|DSER	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC110190034|XP_020815995.1|DSER	LOC108598028|XP_017840131.1|DBUS
OG0000050	LOC110190392|XP_020816504.1|DSER	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC110190029|XP_020815991.1|DSER	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC110187927|XP_020813097.1|DSER	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC110186721|XP_020811651.1|DSER	LOC108603519|XP_017847901.1|DBUS
