Orthogroup	DEUG.longest_only	DSUZ.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC108012249|XP_016933037.1|DSUZ
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC108007476|XP_036670350.1|DSUZ
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC108104206|XP_017065639.1|DEUG	LOC108014040|XP_016935546.2|DSUZ
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC118878125|XP_036675508.1|DSUZ
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC108016521|XP_036671132.1|DSUZ
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC108020024|XP_036672415.1|DSUZ
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC108012154|XP_036675464.1|DSUZ
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC108111926|XP_017077057.1|DEUG	LOC108017737|XP_016940334.1|DSUZ
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
