Orthogroup	DSIM.longest_only	BTRY.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY
OG0000000	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM, LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM, LOC6734183|XP_002081212.2|DSIM	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC6738254|XP_039150029.1|DSIM, LOC6738257|XP_016032137.1|DSIM, LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM, LOC6736137|XP_002083037.1|DSIM, LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM, LOC6730724|XP_016023153.2|DSIM, LOC6730293|XP_039151545.1|DSIM, LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM, LOC6734251|XP_039147854.1|DSIM, LOC6734670|XP_039148016.1|DSIM, LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM, LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM, LOC6736799|XP_039149212.1|DSIM, LOC6730283|XP_016037045.1|DSIM, LOC6730282|XP_002105565.2|DSIM, LOC6732333|XP_039152942.1|DSIM, LOC6729069|XP_016035716.1|DSIM, LOC6732608|XP_002079727.1|DSIM	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM, LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM, LOC6737828|XP_002084656.1|DSIM	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000001	LOC120284346|XP_039147371.1|DSIM, LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM	LOC120779369|XP_039967498.1|BTRY, LOC120779724|XP_039968032.1|BTRY, LOC120779568|XP_039967843.1|BTRY
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM, LOC6733269|XP_002080332.1|DSIM	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC6734556|XP_016027664.2|DSIM	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC120770285|XP_039953555.1|BTRY
