Orthogroup	DHYD.longest_only	CCAP.longest_only
OG0000000	LOC115483378|XP_030080958.1|DHYD	CCAP1982_LOCUS12926|CAD7004529.1|CCAP
OG0000000	LOC111593965|XP_023162824.1|DHYD	CCAP1982_LOCUS22474|CAD7014476.1|CCAP
OG0000000	LOC111599673|XP_023171145.1|DHYD, LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC111600475|XP_023172354.2|DHYD, LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD, LOC111593958|XP_023162817.2|DHYD, LOC111593957|XP_023162816.2|DHYD, LOC115483355|XP_030080829.1|DHYD, LOC111603644|XP_023177090.2|DHYD	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC111593537|XP_030080394.1|DHYD	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC111602383|XP_023175172.2|DHYD	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
