Orthogroup	DMIR.longest_only	SLEB.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR, LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC117185812|XP_033243800.1|DMIR, LOC108165373|XP_017156898.2|DMIR, LOC108151290|XP_017135310.1|DMIR	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC117192640|XP_033253257.1|DMIR, LOC117186450|XP_033243174.1|DMIR, LOC117186708|XP_033243711.1|DMIR	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC115628616|XP_030380660.1|SLEB
