Orthogroup	DSER.longest_only	AALB.longest_only
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC110181334|XP_020804711.1|DSER	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC110188739|XP_020814232.1|DSER, LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER, LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC110182164|XP_020805826.1|DSER	LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC110183810|XP_020807821.1|DSER	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC110178863|XP_020801799.1|DSER, LOC110178859|XP_020801786.1|DSER, LOC110190967|XP_020817320.1|DSER, LOC110176037|XP_020797910.1|DSER, LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER, LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER, LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER, LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	LOC110185112|XP_020809466.1|DSER, LOC110182974|XP_020806826.1|DSER	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC118463128|XP_035785378.1|AALB
