Orthogroup	ASTE.longest_only	BCOP.longest_only
OG0000001	LOC118502364|XP_035890475.1|ASTE, LOC118515186|XP_035917778.1|ASTE, LOC118511405|XP_035910349.1|ASTE, LOC118515143|XP_035917737.1|ASTE, LOC118509627|XP_035906395.1|ASTE, LOC118515249|XP_035917824.1|ASTE, LOC118510038|XP_035907318.1|ASTE, LOC118508944|XP_035904746.1|ASTE, LOC118502469|XP_035890593.1|ASTE, LOC118515247|XP_035917823.1|ASTE, LOC118516760|XP_035918567.1|ASTE, LOC118506181|XP_035898857.1|ASTE, LOC118502451|XP_035890573.1|ASTE, LOC118515270|XP_035917859.1|ASTE, LOC118502373|XP_035890486.1|ASTE, LOC118502425|XP_035890546.1|ASTE, LOC118502463|XP_035890586.1|ASTE, LOC118507140|XP_035901067.1|ASTE, LOC118516844|XP_035918589.1|ASTE, LOC118516914|XP_035918644.1|ASTE, LOC118511401|XP_035910333.1|ASTE, LOC118508414|XP_035904078.1|ASTE, LOC118513244|XP_035914695.1|ASTE, LOC118507667|XP_035902343.1|ASTE, LOC118507990|XP_035903252.1|ASTE, LOC118513120|XP_035914412.1|ASTE	LOC119068942|XP_037028702.1|BCOP
OG0000001	LOC118510932|XP_035909246.1|ASTE	LOC119073001|XP_037034220.1|BCOP
OG0000002	LOC118514602|XP_035917491.1|ASTE, LOC118514191|XP_035916773.1|ASTE, LOC118506037|XP_035898561.1|ASTE, LOC118503868|XP_035893499.1|ASTE, LOC118508220|XP_035903701.1|ASTE, LOC118508185|XP_035903637.1|ASTE	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE, LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE	LOC119068573|XP_037028113.1|BCOP
OG0000003	LOC118513634|XP_035915592.1|ASTE, LOC118503800|XP_035893388.1|ASTE	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP
OG0000003	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE	LOC119078496|XP_037041942.1|BCOP
OG0000003	LOC118504406|XP_035894732.1|ASTE, LOC118504410|XP_035894735.1|ASTE, LOC118504409|XP_035894734.1|ASTE, LOC118504411|XP_035894737.1|ASTE, LOC118504408|XP_035894733.1|ASTE	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP
OG0000003	LOC118504412|XP_035894738.1|ASTE	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
