Orthogroup	DPER.longest_only	BCOP.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER, LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER, LOC6598745|XP_026840088.1|DPER, LOC6603462|XP_002028442.1|DPER, LOC6599796|XP_002024966.2|DPER, LOC6592293|XP_002018412.1|DPER, LOC6594745|XP_002020397.2|DPER, LOC6594746|XP_026843423.1|DPER, LOC6594749|XP_026851250.1|DPER, LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER, LOC6589576|XP_026844127.1|DPER, LOC6591308|XP_026842081.1|DPER, LOC6595216|XP_026851124.1|DPER, LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER, LOC113564899|XP_026839990.1|DPER, LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER, LOC6588283|XP_026842223.1|DPER, LOC113565649|XP_026844091.1|DPER, LOC6592855|XP_026840797.1|DPER, LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER, LOC6587480|XP_002013644.2|DPER, LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER, LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER, LOC6591788|XP_002017388.2|DPER, LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER, LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER, LOC6587947|XP_026840188.1|DPER, LOC6588042|XP_002012846.2|DPER, LOC6592618|XP_002018494.2|DPER, LOC113564925|XP_026840193.1|DPER, LOC6587712|XP_002012839.2|DPER, LOC6588022|XP_026840192.1|DPER, LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER, LOC6591954|XP_002017498.2|DPER, LOC6591955|XP_026851194.1|DPER, LOC6598646|XP_026840107.1|DPER	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC6596381|XP_002021534.2|DPER, LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP
OG0000005	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000006	LOC113567411|XP_026850946.1|DPER	LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC113567401|XP_026850929.1|DPER	LOC119077557|XP_037040663.1|BCOP
OG0000006	LOC6587306|XP_002013133.1|DPER	LOC119075109|XP_037037393.1|BCOP
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC119077558|XP_037040664.1|BCOP, LOC119075098|XP_037037382.1|BCOP, LOC119075115|XP_037037399.1|BCOP, LOC119075400|XP_037037739.1|BCOP, LOC119075402|XP_037037741.1|BCOP, LOC119075103|XP_037037386.1|BCOP
