Orthogroup	DSAN.longest_only	DPSE.longest_only
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC120457602|XP_039501048.1|DSAN	LOC117183655|XP_033234152.1|DPSE
OG0000001	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN	LOC117184744|XP_033239458.1|DPSE, LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE
OG0000001	LOC120445604|XP_039482044.1|DSAN	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC117184985|XP_033240229.1|DPSE
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC6900542|XP_033238667.1|DPSE
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC120446975|XP_039484180.1|DSAN, LOC120446688|XP_039483715.1|DSAN	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC4804978|XP_001361452.2|DPSE
