Orthogroup	DSUP.longest_only	DMAU.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC119554400|XP_037721217.1|DSUP	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC119555097|XP_037722243.1|DSUP	LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU
OG0000000	LOC119548144|XP_037711170.1|DSUP	LOC117150663|XP_033173544.1|DMAU
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC119563229|XP_037732462.1|DSUP	LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP	LOC117138584|XP_033156654.1|DMAU
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC117138016|XP_033155711.1|DMAU
