Orthogroup	DERE.longest_only	DBUS.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC108608148|XP_017854884.1|DBUS
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC6553905|XP_001979522.1|DERE	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC6543719|XP_001971862.1|DERE	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC6541660|XP_001969797.3|DERE	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC6553016|XP_001979107.1|DERE	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC6553019|XP_001979110.3|DERE	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC6553017|XP_001979108.1|DERE	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC6553015|XP_001979106.1|DERE	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC6554105|XP_001979501.1|DERE	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC6554107|XP_001979503.1|DERE	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC6548094|XP_001976600.1|DERE	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC6546804|XP_001975914.1|DERE	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC113564795|XP_026839443.1|DERE, LOC6556039|XP_015008608.2|DERE	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC6548695|XP_001974014.1|DERE, LOC113564802|XP_026839451.1|DERE, LOC113564785|XP_026839418.1|DERE, LOC26526498|XP_026839417.1|DERE	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC6552127|XP_001980788.1|DERE	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC6547483|XP_015011854.1|DERE	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC6547482|XP_001974798.1|DERE	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC6547337|XP_015012184.1|DERE	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC6547484|XP_026836781.1|DERE	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC6549620|XP_001975657.1|DERE	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC6551261|XP_026838843.1|DERE	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC6553110|XP_001980016.1|DERE	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC6545627|XP_026832753.1|DERE	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC6553734|XP_001980320.1|DERE	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000016	LOC6553473|XP_001980267.1|DERE	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC6547825|XP_001974973.1|DERE	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC6553744|XP_001980362.1|DERE	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC6548497|XP_001975310.2|DERE	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC6551195|XP_001977029.1|DERE	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC6542573|XP_026835446.1|DERE	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC6553157|XP_026831618.1|DERE	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC6544283|XP_001973711.1|DERE	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC6542635|XP_001970806.1|DERE	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC6547791|XP_001976408.1|DERE	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC6542668|XP_001970804.1|DERE	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC6543081|XP_001968299.1|DERE	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC6545112|XP_001972081.1|DERE	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC6545114|XP_001972083.1|DERE	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC113564308|XP_026836578.1|DERE	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC6555070|XP_001981612.1|DERE	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC6555069|XP_001981611.1|DERE	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC6555052|XP_026839769.1|DERE	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC6547855|XP_001975038.1|DERE	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC6553828|XP_026839892.1|DERE	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC6554060|XP_001980549.1|DERE	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC6543194|XP_001968524.1|DERE	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC6556017|XP_001982880.1|DERE	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC6547978|XP_001975124.1|DERE	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC6548381|XP_001975140.1|DERE	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC6546948|XP_001974598.1|DERE	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC6556217|XP_001983050.1|DERE	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC6551659|XP_001977237.1|DERE	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC6554651|XP_001981975.1|DERE	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC26526932|XP_026837924.1|DERE	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC6548724|XP_001975398.1|DERE	LOC108595778|XP_017836559.1|DBUS
