Orthogroup	DELE.longest_only	DPER.longest_only
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC108142886|XP_017122451.1|DELE	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC6595014|XP_026839995.1|DPER
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC6587480|XP_002013644.2|DPER
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC6596381|XP_002021534.2|DPER
