Orthogroup	DSUB.longest_only	AEAL.longest_only
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC115257059|XP_029712178.1|AEAL, LOC115266193|XP_029728020.1|AEAL, LOC115267598|XP_029730563.1|AEAL, LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC109621663|XP_019931313.1|AEAL, LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL
OG0000007	LOC117894702|XP_034657776.1|DSUB, LOC117894589|XP_034657628.1|DSUB, LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC109409014|XP_019537968.1|AEAL
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC117896628|XP_034660961.1|DSUB, LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB, LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC109420100|XP_019549952.1|AEAL, LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000011	LOC117900245|XP_034666432.1|DSUB	LOC115262047|XP_029719837.1|AEAL, LOC115261495|XP_029719074.1|AEAL
OG0000012	LOC117892204|XP_034654190.1|DSUB, LOC117892205|XP_034654193.1|DSUB, LOC117892198|XP_034654182.1|DSUB, LOC117892199|XP_034654185.1|DSUB, LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000016	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC109405344|XP_029709586.1|AEAL, LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC109414002|XP_019543272.1|AEAL
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
