Orthogroup	SLEB.longest_only	DSER.longest_only
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC110188492|XP_020813881.1|DSER, LOC110181445|XP_020804849.1|DSER
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC110190735|XP_020817016.1|DSER, LOC110190738|XP_020817019.1|DSER, LOC110190736|XP_020817017.1|DSER
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC110177452|XP_020799845.1|DSER
OG0000002	LOC115634390|XP_030387939.1|SLEB	LOC110179248|XP_020802366.1|DSER
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER
