Orthogroup	DANA.longest_only	DBUS.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC108597142|XP_017839023.1|DBUS
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC6502876|XP_001967786.1|DANA, LOC116656007|XP_032310968.1|DANA	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC6494224|XP_001960708.1|DANA	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC6502959|XP_001963513.1|DANA	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC6494241|XP_001965950.1|DANA	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC6506687|XP_032309811.1|DANA	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC6500356|XP_001953043.1|DANA	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS
OG0000015	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA	LOC108605188|XP_017850271.1|DBUS
OG0000016	LOC6500386|XP_001953106.1|DANA	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC6495063|XP_001959144.1|DANA	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC6499904|XP_001953662.1|DANA	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC6494270|XP_001960623.3|DANA	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC6504746|XP_032309021.1|DANA	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC6496662|XP_001961354.1|DANA	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC6501076|XP_001954513.1|DANA	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC6493807|XP_014764542.1|DANA	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC6493898|XP_001961368.1|DANA	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC6494709|XP_001959816.1|DANA	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC6496668|XP_001961367.1|DANA	LOC108595879|XP_017836658.1|DBUS
