Orthogroup	DPER.longest_only	DGUA.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC6598745|XP_026840088.1|DPER	LOC117583148|XP_034127229.1|DGUA
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC6594749|XP_026851250.1|DPER	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC6589576|XP_026844127.1|DPER	LOC117578480|XP_034119907.1|DGUA
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC6592855|XP_026840797.1|DPER	LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER	LOC117585205|XP_034130473.1|DGUA
OG0000000	LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER	LOC117585431|XP_034130796.1|DGUA
OG0000000	LOC6591788|XP_002017388.2|DPER, LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER, LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER, LOC6587947|XP_026840188.1|DPER, LOC6588042|XP_002012846.2|DPER, LOC6592618|XP_002018494.2|DPER, LOC113564925|XP_026840193.1|DPER, LOC6587712|XP_002012839.2|DPER, LOC6588022|XP_026840192.1|DPER, LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER, LOC6591954|XP_002017498.2|DPER, LOC6591955|XP_026851194.1|DPER	LOC117592344|XP_034141927.1|DGUA
OG0000000	LOC6598646|XP_026840107.1|DPER	LOC117583154|XP_034127239.1|DGUA
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC117584002|XP_034128622.1|DGUA
OG0000002	LOC6589514|XP_002015188.2|DPER	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA
OG0000002	LOC6593573|XP_002019253.2|DPER	LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC6587537|XP_002013115.1|DPER	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000004	LOC6599392|XP_026847172.1|DPER, LOC6599399|XP_026847197.1|DPER	LOC117581358|XP_034124381.1|DGUA
OG0000005	LOC113567239|XP_026850209.1|DPER	LOC117591669|XP_034140883.1|DGUA
OG0000005	LOC113567248|XP_026850218.1|DPER	LOC117584032|XP_034128659.1|DGUA
OG0000005	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER	LOC117581361|XP_034124384.1|DGUA
OG0000005	LOC113567420|XP_026850959.1|DPER	LOC117591646|XP_034140862.1|DGUA
OG0000006	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC113567028|XP_026850039.1|DPER	LOC117591672|XP_034140886.1|DGUA
OG0000006	LOC6588461|XP_002013138.1|DPER, LOC113567246|XP_026850216.1|DPER, LOC113567245|XP_026850215.1|DPER, LOC6587643|XP_002013117.1|DPER, LOC113567402|XP_026850930.1|DPER, LOC113567395|XP_026850912.1|DPER	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC117592308|XP_034141873.1|DGUA
