Orthogroup	DANA.longest_only	DFIC.longest_only
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA	LOC108098764|XP_017057385.1|DFIC
OG0000000	LOC6502666|XP_032305659.1|DANA	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC, LOC108100131|XP_017059373.1|DFIC, LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
