Orthogroup	DSUZ.longest_only	DERE.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC108021133|XP_036668720.1|DSUZ	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE
OG0000000	LOC108014081|XP_036675273.1|DSUZ	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC108020024|XP_036672415.1|DSUZ	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC6551915|XP_001978850.1|DERE
