Orthogroup	DSUB.longest_only	DPSE.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC117898485|XP_034663813.1|DSUB	LOC6896908|XP_033233090.1|DPSE
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC117892705|XP_034655010.1|DSUB	LOC26532949|XP_015039423.1|DPSE
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC6896676|XP_033241757.1|DPSE
OG0000000	LOC117899310|XP_034665127.1|DSUB	LOC6896675|XP_033232980.1|DPSE
OG0000000	LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC117890046|XP_034650557.1|DSUB	LOC117183963|XP_033235597.1|DPSE
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE
OG0000000	LOC117899382|XP_034665255.1|DSUB	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE
OG0000000	LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC117892680|XP_034654976.1|DSUB	LOC6898538|XP_033233460.1|DPSE
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC4801605|XP_001358672.2|DPSE
OG0000000	LOC117897179|XP_034661768.1|DSUB	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE
OG0000000	LOC117898832|XP_034664390.1|DSUB	LOC6897761|XP_002137866.2|DPSE
