Orthogroup	DSUB.longest_only	DBUS.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC108608148|XP_017854884.1|DBUS
OG0000007	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC117898635|XP_034664088.1|DSUB	LOC108601547|XP_017844934.2|DBUS, LOC108602371|XP_017845962.1|DBUS
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC117899151|XP_034664850.1|DSUB	LOC108601444|XP_017844830.1|DBUS
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC117895261|XP_034658673.1|DSUB	LOC108598989|XP_017841254.1|DBUS, LOC117134764|XP_033149298.1|DBUS
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC117895258|XP_034658670.1|DSUB	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC117899339|XP_034665171.1|DSUB	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC117899361|XP_034665230.1|DSUB	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC117892172|XP_034654141.1|DSUB	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC117902343|XP_034669534.1|DSUB	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC117898500|XP_034663833.1|DSUB	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC117898411|XP_034663671.1|DSUB	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC117894607|XP_034657649.1|DSUB	LOC108598850|XP_017841097.1|DBUS
OG0000021	LOC117892599|XP_034654829.1|DSUB	LOC108595011|XP_017835635.1|DBUS
OG0000021	LOC117892038|XP_034653853.1|DSUB	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC117892039|XP_034653854.1|DSUB	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC117891478|XP_034652849.1|DSUB	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC117891531|XP_034652923.1|DSUB	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC117892040|XP_034653856.1|DSUB	LOC108595014|XP_017835638.1|DBUS
