Orthogroup	DSUZ.longest_only	DMIR.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC108156429|XP_017143371.1|DMIR
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR
