Orthogroup	DSIM.longest_only	DHYD.longest_only
OG0000000	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM	LOC111603644|XP_023177090.2|DHYD
OG0000001	LOC120284706|XP_039149044.1|DSIM	LOC111593537|XP_030080394.1|DHYD
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC6735327|XP_016028674.2|DSIM	LOC111597303|XP_023167695.2|DHYD
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC6734556|XP_016027664.2|DSIM	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC111602383|XP_023175172.2|DHYD
OG0000005	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC120285265|XP_039152650.1|DSIM	LOC115483266|XP_030080471.1|DHYD
OG0000006	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC6738477|XP_016032322.1|DSIM	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC6736955|XP_002083802.1|DSIM	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC6733581|XP_002080635.1|DSIM	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC6731021|XP_002078182.1|DSIM	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC6727443|XP_016034017.1|DSIM	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC6736741|XP_002083597.1|DSIM	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC6736744|XP_016030372.1|DSIM	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC6732025|XP_039148682.1|DSIM	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC6726998|XP_016033494.2|DSIM	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC6726996|XP_002102397.1|DSIM	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC6726997|XP_002102398.2|DSIM	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC6726995|XP_002102396.1|DSIM	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC6727419|XP_002102801.1|DSIM	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC6727422|XP_002102804.2|DSIM	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC6736062|XP_002082963.1|DSIM	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC6734157|XP_002081186.1|DSIM	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC120285280|XP_039152696.1|DSIM	LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC120285282|XP_039152699.1|DSIM	LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC120285813|XP_039154363.1|DSIM	LOC115483312|XP_030080549.1|DHYD
