Orthogroup	CQUI.longest_only	DPSE.longest_only
OG0000001	LOC119766275|XP_038106648.1|CQUI, LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI, LOC119769226|XP_038117080.1|CQUI, LOC119770798|XP_038122239.1|CQUI, LOC119765595|XP_038105755.1|CQUI, LOC119769119|XP_038116947.1|CQUI	LOC117184929|XP_033240037.1|DPSE
OG0000001	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE
OG0000001	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI, LOC119769711|XP_038119095.1|CQUI, LOC119765936|XP_038106134.1|CQUI, LOC119766511|XP_038107028.1|CQUI, LOC119768974|XP_038116762.1|CQUI, LOC119770754|XP_038122126.1|CQUI, LOC119768917|XP_038116638.1|CQUI, LOC119766026|XP_038106289.1|CQUI, LOC119771145|XP_038122496.1|CQUI, LOC119770320|XP_038120912.1|CQUI, LOC119769345|XP_038117303.1|CQUI, LOC119766211|XP_038106574.1|CQUI, LOC119766295|XP_038106683.1|CQUI, LOC119769000|XP_038116799.1|CQUI, LOC119769267|XP_038117148.1|CQUI, LOC119768903|XP_038116616.1|CQUI, LOC119766456|XP_038106940.1|CQUI, LOC119770306|XP_038120868.1|CQUI, LOC119768973|XP_038116761.1|CQUI, LOC119766434|XP_038106910.1|CQUI, LOC119765978|XP_038106214.1|CQUI	LOC117184985|XP_033240229.1|DPSE
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC117184038|XP_033235938.1|DPSE
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC6900542|XP_033238667.1|DPSE
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC117183556|XP_033233676.1|DPSE, LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC6045277|XP_001862666.1|CQUI	LOC26534208|XP_015035128.2|DPSE
OG0000006	LOC6045329|XP_001862718.1|CQUI, LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC6900428|XP_002134819.1|DPSE, LOC5495512|XP_001353851.2|DPSE, LOC5495507|XP_001353849.1|DPSE, LOC5495509|XP_001355939.3|DPSE, LOC4805058|XP_001361522.1|DPSE, LOC6896708|XP_002136922.1|DPSE, LOC4800234|XP_001357614.1|DPSE, LOC6896707|XP_002136921.2|DPSE, LOC4816610|XP_001355938.2|DPSE, LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE, LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC4803265|XP_001360036.3|DPSE
