Orthogroup	DNOV.longest_only	DBUS.longest_only
OG0000000	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV	LOC117134726|XP_033149242.1|DBUS
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS
OG0000000	LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV	LOC108594727|XP_017835355.1|DBUS
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC115766569|XP_030566411.1|DNOV, LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV, LOC115766590|XP_030566436.1|DNOV	LOC108594750|XP_017835378.1|DBUS
OG0000002	LOC115763088|XP_030561386.1|DNOV	LOC108601753|XP_017845169.2|DBUS
OG0000002	LOC115766526|XP_030566353.1|DNOV	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC115763094|XP_030561396.1|DNOV	LOC108595008|XP_017835631.1|DBUS
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC115760652|XP_030557979.1|DNOV	LOC108595911|XP_017836691.1|DBUS
OG0000007	LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC115763735|XP_030562294.1|DNOV	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC115760864|XP_030558278.1|DNOV	LOC108595579|XP_017836330.1|DBUS
