Orthogroup	DSER.longest_only	DPER.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC6587480|XP_002013644.2|DPER
OG0000000	LOC110177976|XP_020800628.1|DSER	LOC6591955|XP_026851194.1|DPER
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC110177694|XP_020800177.1|DSER, LOC110177698|XP_020800183.1|DSER	LOC6591232|XP_002016678.1|DPER
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC6596552|XP_002021689.1|DPER
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER
OG0000005	LOC110182160|XP_020805822.1|DSER	LOC6587310|XP_002013132.1|DPER
OG0000005	LOC110180660|XP_020804010.1|DSER	LOC113567420|XP_026850959.1|DPER
OG0000005	LOC110180704|XP_020804042.1|DSER	LOC113567249|XP_026850219.1|DPER
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER
OG0000006	LOC110180700|XP_020804040.1|DSER	LOC113567028|XP_026850039.1|DPER
OG0000006	LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC113567402|XP_026850930.1|DPER
OG0000006	LOC110182435|XP_020806129.1|DSER	LOC113567386|XP_026850891.1|DPER
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC6601482|XP_002026422.2|DPER
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC6596309|XP_002021479.1|DPER
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC6601214|XP_002026310.2|DPER
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC6589529|XP_002015017.1|DPER
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC6601483|XP_026847920.1|DPER
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC6601458|XP_026847765.1|DPER
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC6591822|XP_002016972.1|DPER
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC6591389|XP_002017359.1|DPER
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC6590981|XP_002016546.2|DPER
