Orthogroup	DHYD.longest_only	SLEB.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD, LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB, LOC115632651|XP_030385741.1|SLEB
OG0000000	LOC115483355|XP_030080829.1|DHYD	LOC115623741|XP_030374114.1|SLEB
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC115633656|XP_030386961.1|SLEB
OG0000002	LOC111603957|XP_023177560.2|DHYD, LOC111593705|XP_023162430.2|DHYD, LOC111593796|XP_023162589.2|DHYD	LOC115631932|XP_030384643.1|SLEB
OG0000002	LOC111599235|XP_023170600.2|DHYD	LOC115626572|XP_030377811.1|SLEB
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC115633967|XP_030387348.1|SLEB
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC111602546|XP_030082007.1|DHYD	LOC115634507|XP_030388133.1|SLEB
OG0000003	LOC111601269|XP_023173548.2|DHYD	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC115628616|XP_030380660.1|SLEB
