Orthogroup	DSAN.longest_only	DHYD.longest_only
OG0000000	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC120453562|XP_039494248.1|DSAN, LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN	LOC111603644|XP_023177090.2|DHYD
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC111593537|XP_030080394.1|DHYD
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC111602383|XP_023175172.2|DHYD
OG0000005	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC120457934|XP_039501374.1|DSAN	LOC115483213|XP_030080345.1|DHYD
OG0000006	LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN	LOC115483281|XP_030080484.1|DHYD
OG0000006	LOC120445991|XP_039482657.1|DSAN	LOC115483280|XP_030080483.1|DHYD
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC111604987|XP_023179051.2|DHYD
