Orthogroup	DSUZ.longest_only	DVIR.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC118876749|XP_016938664.1|DSUZ, LOC108020087|XP_016943677.1|DSUZ, LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000001	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR
OG0000001	LOC118878459|XP_036677349.1|DSUZ	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC6625292|XP_002049777.1|DVIR
