Orthogroup	DFIC.longest_only	DPER.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC108101733|XP_017061674.1|DFIC	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER
OG0000000	LOC108086787|XP_017039316.1|DFIC	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC6587480|XP_002013644.2|DPER
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC6596381|XP_002021534.2|DPER
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC108099209|XP_017058075.1|DFIC, LOC108087749|XP_017040761.1|DFIC	LOC6591232|XP_002016678.1|DPER
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000005	LOC108101399|XP_017061208.1|DFIC	LOC113567239|XP_026850209.1|DPER
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC113566635|XP_026848953.1|DPER, LOC113567238|XP_026850208.1|DPER, LOC6604118|XP_002029057.1|DPER, LOC113567396|XP_026850913.1|DPER, LOC113567387|XP_026850892.1|DPER, LOC113567404|XP_026850932.1|DPER, LOC113567248|XP_026850218.1|DPER, LOC113565365|XP_026842917.1|DPER, LOC6587619|XP_002013137.1|DPER, LOC113567029|XP_026850041.1|DPER, LOC113567421|XP_026850960.1|DPER, LOC113565366|XP_026842918.1|DPER, LOC6587310|XP_002013132.1|DPER, LOC6587387|XP_002013127.1|DPER, LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER, LOC6587632|XP_002013116.1|DPER, LOC6604167|XP_026842916.1|DPER, LOC113567403|XP_026850931.1|DPER, LOC113567412|XP_026850947.1|DPER, LOC113567420|XP_026850959.1|DPER, LOC113567249|XP_026850219.1|DPER
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC113567402|XP_026850930.1|DPER
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC6595910|XP_002021056.1|DPER
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC6601482|XP_002026422.2|DPER
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC6596309|XP_002021479.1|DPER
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC6601214|XP_002026310.2|DPER
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC6589529|XP_002015017.1|DPER
