Orthogroup	DPSE.longest_only	DALB.longest_only
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC6896672|XP_033232290.1|DPSE, LOC26532949|XP_015039423.1|DPSE, LOC6896676|XP_033241757.1|DPSE, LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE, LOC117183963|XP_033235597.1|DPSE, LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE, LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE, LOC6897227|XP_002137399.2|DPSE, LOC6902907|XP_033236216.1|DPSE, LOC6898538|XP_033233460.1|DPSE	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE, LOC6897761|XP_002137866.2|DPSE, LOC6897749|XP_033232309.1|DPSE, LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE, LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE, LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE	LOC117570317|XP_034107750.1|DALB
OG0000001	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC117573170|XP_034112033.1|DALB
OG0000001	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE, LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC117571537|XP_034109617.1|DALB
