Orthogroup	DALB.longest_only	DHYD.longest_only
OG0000000	LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB	LOC111593965|XP_023162824.1|DHYD
OG0000000	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC117566676|XP_034102114.1|DALB	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC117566669|XP_034102106.1|DALB, LOC117576780|XP_034117723.1|DALB	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB	LOC115483355|XP_030080829.1|DHYD
OG0000000	LOC117566658|XP_034102093.1|DALB, LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB, LOC117570300|XP_034107716.1|DALB	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC117570812|XP_034108562.1|DALB	LOC111601236|XP_023173500.2|DHYD
OG0000002	LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB	LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC117571538|XP_034109620.1|DALB	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC117571537|XP_034109617.1|DALB	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC117572767|XP_034111746.1|DALB	LOC111599235|XP_023170600.2|DHYD
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD, LOC111594787|XP_023164011.2|DHYD, LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD, LOC111600423|XP_023172273.1|DHYD
OG0000002	LOC117571106|XP_034108978.1|DALB	LOC111594107|XP_023163033.2|DHYD
OG0000002	LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC117572391|XP_034111057.1|DALB	LOC111601269|XP_023173548.2|DHYD
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC111602383|XP_023175172.2|DHYD
OG0000005	LOC117564294|XP_034098883.1|DALB, LOC117564290|XP_034098880.1|DALB, LOC117564295|XP_034098885.1|DALB, LOC117564270|XP_034098864.1|DALB	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC117566019|XP_034101338.1|DALB	LOC115483285|XP_030080488.1|DHYD
OG0000006	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC117570587|XP_034108222.1|DALB	LOC111601090|XP_023173285.1|DHYD
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC117571197|XP_034109131.1|DALB	LOC111596954|XP_023167178.2|DHYD
OG0000007	LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD
OG0000007	LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC117565287|XP_034100206.1|DALB	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC117568811|XP_034105563.1|DALB	LOC111592528|XP_023160554.2|DHYD
OG0000009	LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB	LOC111594331|XP_023163344.2|DHYD
OG0000009	LOC117566724|XP_034102158.1|DALB	LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC117572671|XP_034111579.1|DALB	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC117564301|XP_034098889.1|DALB	LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC117566095|XP_034101458.1|DALB	LOC115483312|XP_030080549.1|DHYD
OG0000010	LOC117564299|XP_034098888.1|DALB	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC117571839|XP_034110118.1|DALB	LOC111596019|XP_023165812.2|DHYD
OG0000011	LOC117575640|XP_034115810.1|DALB	LOC111595276|XP_023164694.1|DHYD
OG0000011	LOC117569027|XP_034105908.1|DALB	LOC111605669|XP_023180101.2|DHYD
OG0000011	LOC117570589|XP_034108223.1|DALB, LOC117572252|XP_034110830.1|DALB	LOC111603319|XP_023176609.2|DHYD
OG0000011	LOC117570898|XP_034108692.1|DALB	LOC111599256|XP_023170624.2|DHYD
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB	LOC111592160|XP_023159980.2|DHYD
OG0000012	LOC117571638|XP_034109755.1|DALB	LOC111592239|XP_023160091.2|DHYD
OG0000012	LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB	LOC111603807|XP_023177327.2|DHYD
OG0000012	LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000015	LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB	LOC111601485|XP_023173841.2|DHYD
OG0000015	LOC117574088|XP_034113615.1|DALB	LOC111598320|XP_023169285.2|DHYD
OG0000015	LOC117565931|XP_034101209.1|DALB	LOC111592667|XP_023160798.2|DHYD
OG0000015	LOC117565916|XP_034101175.1|DALB	LOC111603761|XP_023177261.1|DHYD
OG0000015	LOC117564597|XP_034099342.1|DALB, LOC117564598|XP_034099344.1|DALB, LOC117564596|XP_034099340.1|DALB, LOC117564343|XP_034098944.1|DALB, LOC117564332|XP_034098928.1|DALB	LOC111599488|XP_023170923.2|DHYD
OG0000015	LOC117567386|XP_034103227.1|DALB	LOC111599832|XP_023171393.2|DHYD
OG0000015	LOC117564019|XP_034098510.1|DALB, LOC117564020|XP_034098511.1|DALB	LOC111603762|XP_023177262.1|DHYD, LOC111603745|XP_023177233.1|DHYD
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD
OG0000017	LOC117574957|XP_034114906.1|DALB	LOC111602301|XP_023175069.1|DHYD
OG0000017	LOC117569360|XP_034106383.1|DALB	LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC117575876|XP_034116205.1|DALB	LOC111592948|XP_023161193.2|DHYD
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC117570357|XP_034107819.1|DALB	LOC111600522|XP_023172425.2|DHYD
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC117576471|XP_034117133.1|DALB	LOC111604565|XP_023178433.2|DHYD
OG0000020	LOC117576474|XP_034117135.1|DALB	LOC111604594|XP_030078785.1|DHYD
OG0000020	LOC117576472|XP_034117134.1|DALB	LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC117570665|XP_034108343.1|DALB	LOC111604510|XP_023178374.1|DHYD
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC117567521|XP_034103458.1|DALB	LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000022	LOC117569847|XP_034107067.1|DALB	LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC117565137|XP_034099998.1|DALB	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000028	LOC117566511|XP_034101942.1|DALB	LOC111605107|XP_023179216.2|DHYD
