Orthogroup	DMAU.longest_only	DHYD.longest_only
OG0000000	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC117145160|XP_033166598.1|DMAU, LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC117136987|XP_033154052.1|DMAU	LOC111597303|XP_023167695.2|DHYD
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC111602383|XP_023175172.2|DHYD
OG0000007	LOC117141087|XP_033160294.1|DMAU	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC117136894|XP_033153899.1|DMAU	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC115482882|XP_030078992.1|DHYD, LOC115483260|XP_030080465.1|DHYD, LOC115483265|XP_030080470.1|DHYD, LOC115482892|XP_030079001.1|DHYD, LOC115482880|XP_030078990.1|DHYD, LOC115483192|XP_030080237.1|DHYD, LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD, LOC115482891|XP_030079000.1|DHYD, LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000011	LOC117143493|XP_033164098.1|DMAU	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC117141743|XP_033161255.1|DMAU	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC117143333|XP_033163884.1|DMAU	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC117142344|XP_033162152.1|DMAU	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC117135278|XP_033151337.1|DMAU	LOC111592667|XP_023160798.2|DHYD
OG0000016	LOC117143253|XP_033163704.1|DMAU	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC117136077|XP_033152622.1|DMAU	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC117144517|XP_033165627.1|DMAU	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC117137377|XP_033154680.1|DMAU	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC117148789|XP_033172290.1|DMAU	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC117135957|XP_033152442.1|DMAU	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC117145868|XP_033167581.1|DMAU	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC117140134|XP_033158791.1|DMAU	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC117136736|XP_033153658.1|DMAU	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC117137416|XP_033154735.1|DMAU	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC117136539|XP_033153380.1|DMAU	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC117141482|XP_033160851.1|DMAU	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC117141483|XP_033160852.1|DMAU	LOC111600497|XP_023172393.2|DHYD
OG0000019	LOC117143233|XP_033163675.1|DMAU	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC117143229|XP_033163670.1|DMAU	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC117143234|XP_033163676.1|DMAU	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC117143636|XP_033164304.1|DMAU	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC117136475|XP_033153300.1|DMAU	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC117145918|XP_033167668.1|DMAU	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC117143368|XP_033163935.1|DMAU	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC117135318|XP_033151407.1|DMAU	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC117136145|XP_033152741.1|DMAU	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC117136571|XP_033153419.1|DMAU	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC117136553|XP_033153398.1|DMAU	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC117146855|XP_033169316.1|DMAU	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC117142241|XP_033161985.1|DMAU	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC117143646|XP_033164316.1|DMAU	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC117148061|XP_033171143.1|DMAU	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC117138252|XP_033156103.1|DMAU	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000023	LOC117144284|XP_033165278.1|DMAU	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC117144282|XP_033165275.1|DMAU	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC117135977|XP_033152481.1|DMAU	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC117145126|XP_033166537.1|DMAU	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC117144278|XP_033165272.1|DMAU	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC117144775|XP_033166033.1|DMAU	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC117144277|XP_033165271.1|DMAU	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC117144765|XP_033166018.1|DMAU	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC117136255|XP_033152953.1|DMAU	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC117150619|XP_033173479.1|DMAU	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC117136506|XP_033153341.1|DMAU	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC117135440|XP_033151508.1|DMAU	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC117143378|XP_033163951.1|DMAU	LOC111599384|XP_023170789.1|DHYD
OG0000026	LOC117148470|XP_033171735.1|DMAU	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC117135160|XP_033151111.1|DMAU	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC117145491|XP_033167059.1|DMAU	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC117142835|XP_033162961.1|DMAU	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC117140739|XP_033159710.1|DMAU	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC117150817|XP_033173768.1|DMAU	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC117139373|XP_033157513.1|DMAU	LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC117144854|XP_033166148.1|DMAU	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC117140740|XP_033159707.1|DMAU	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC117150768|XP_033173696.1|DMAU	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC117143350|XP_033163916.1|DMAU	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC117137054|XP_033154154.1|DMAU	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC117148684|XP_033172115.1|DMAU	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC117150913|XP_033173999.1|DMAU	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC117145857|XP_033167568.1|DMAU	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC117145860|XP_033167571.1|DMAU	LOC111598628|XP_023169740.2|DHYD
OG0000032	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU	LOC111599021|XP_023170312.2|DHYD
OG0000033	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC117138298|XP_033156189.1|DMAU	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC117150483|XP_033173273.1|DMAU	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC117143867|XP_033164627.1|DMAU	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC117145150|XP_033166581.1|DMAU	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC117145004|XP_033166383.1|DMAU	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC117145915|XP_033167661.1|DMAU	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU	LOC111601529|XP_023173926.1|DHYD
