Orthogroup	DANA.longest_only	DSAN.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN, LOC120446300|XP_039483141.1|DSAN, LOC120444898|XP_039480821.1|DSAN, LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC120448603|XP_039486639.1|DSAN
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC120444310|XP_039479789.1|DSAN
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC120458377|XP_039501931.1|DSAN
