Orthogroup	DBUS.longest_only	DANA.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC6499064|XP_032305682.1|DANA
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC6506633|XP_001957500.1|DANA
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC6494113|XP_001960938.1|DANA
