Orthogroup	ASTE.longest_only	BTRY.longest_only
OG0000001	LOC118508413|XP_035904112.1|ASTE	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY
OG0000001	LOC118510932|XP_035909246.1|ASTE	LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC120767509|XP_039949536.1|BTRY
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC120781340|XP_039969478.1|BTRY
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC120778933|XP_039966914.1|BTRY
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC120767528|XP_039949554.1|BTRY
