Orthogroup	DSIM.longest_only	DMEL.longest_only
OG0000000	LOC6737447|XP_016031216.1|DSIM	CG33700|NP_001027121.3|DMEL
OG0000000	LOC6734181|XP_016027194.1|DSIM	CG33752|NP_001027409.1|DMEL
OG0000000	LOC6732391|XP_002079512.1|DSIM	CG33679|NP_001027273.1|DMEL
OG0000000	LOC6728685|XP_002104021.1|DSIM	CG33784|NP_001027169.1|DMEL
OG0000000	LOC6728686|XP_016035358.1|DSIM	CG33783|NP_001027168.1|DMEL
OG0000000	LOC6734183|XP_002081212.2|DSIM	CG33775|NP_001027410.1|DMEL
OG0000000	LOC6738254|XP_039150029.1|DSIM	CG33687|NP_001027130.2|DMEL
OG0000000	LOC6738257|XP_016032137.1|DSIM	CG33690|NP_001368948.1|DMEL
OG0000000	LOC6738255|XP_016032135.1|DSIM	CG33688|NP_001027131.1|DMEL
OG0000000	LOC6738256|XP_002085068.1|DSIM	CG33689|NP_001027132.2|DMEL
OG0000000	LOC6736137|XP_002083037.1|DSIM	CG12849|NP_611969.2|DMEL
OG0000000	LOC6728763|XP_002104098.1|DSIM	CG33654|NP_001027165.1|DMEL
OG0000000	LOC6730295|XP_016037057.1|DSIM	CG33920|NP_001027214.1|DMEL
OG0000000	LOC6730293|XP_039151545.1|DSIM	CG33773|NP_001027213.1|DMEL
OG0000000	LOC6731633|XP_002078773.1|DSIM	CG33723|NP_001027235.1|DMEL
OG0000000	LOC6729478|XP_002104788.3|DSIM	CG33658|NP_001027209.1|DMEL
OG0000000	LOC6734251|XP_039147854.1|DSIM	CG33798|NP_001027414.1|DMEL
OG0000000	LOC6734670|XP_039148016.1|DSIM	CG33463|NP_995846.2|DMEL
OG0000000	LOC27209298|XP_016030381.1|DSIM	CG33764|NP_001027107.1|DMEL
OG0000000	LOC6738897|XP_002085692.1|DSIM	CG33912|NP_001027139.1|DMEL
OG0000000	LOC6734178|XP_002081207.1|DSIM	CG33632|NP_001036537.1|DMEL
OG0000000	LOC6730565|XP_016023011.1|DSIM	CG33923|NP_001027216.2|DMEL
OG0000000	LOC6730566|XP_002077745.1|DSIM	CG33922|NP_001027217.1|DMEL
OG0000000	LOC6736799|XP_039149212.1|DSIM	CG33777|NP_001027108.1|DMEL
OG0000000	LOC6730282|XP_002105565.2|DSIM	CG33483|NP_001189327.1|DMEL
OG0000000	LOC6732333|XP_039152942.1|DSIM	CG33648|NP_001027265.2|DMEL
OG0000000	LOC6729069|XP_016035716.1|DSIM	CG33721|NP_001036743.1|DMEL
OG0000000	LOC6732608|XP_002079727.1|DSIM	CG33928|NP_001027276.1|DMEL
OG0000000	LOC6735227|XP_002082200.1|DSIM	CG33454|NP_995887.1|DMEL
OG0000000	LOC6735228|XP_002082201.1|DSIM	CG33453|NP_995888.1|DMEL
OG0000000	LOC6736069|XP_002082970.1|DSIM	CG13590|NP_611919.1|DMEL
OG0000000	LOC6736068|XP_002082969.1|DSIM	CG13589|NP_611918.2|DMEL
OG0000000	LOC6729989|XP_002105283.1|DSIM	CG14518|NP_651653.2|DMEL
OG0000000	LOC6726722|XP_002102133.3|DSIM	CG33927|NP_001027147.1|DMEL
OG0000000	LOC6738252|XP_002085064.1|DSIM	CG33796|NP_001027128.1|DMEL
OG0000000	LOC6738253|XP_039150090.1|DSIM	CG33795|NP_001027129.2|DMEL
OG0000000	LOC6737828|XP_002084656.1|DSIM	CG33725|NP_001027125.1|DMEL
OG0000002	LOC6734821|XP_002081824.1|DSIM	CG5550|NP_001246376.1|DMEL
OG0000002	LOC6735666|XP_002082584.2|DSIM	CG30281|NP_726164.1|DMEL
OG0000002	LOC6735665|XP_002082583.2|DSIM	CG30280|NP_611641.6|DMEL
OG0000002	LOC6738777|XP_016032596.1|DSIM	CG7668|NP_649170.1|DMEL
OG0000002	LOC6731201|XP_002078360.1|DSIM	CG9500|NP_609018.3|DMEL
OG0000003	LOC6734558|XP_002081567.1|DSIM	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC6734560|XP_016027665.1|DSIM	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6729847|XP_016036585.1|DSIM	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC6734561|XP_002081570.1|DSIM	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC6733269|XP_002080332.1|DSIM	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC6734555|XP_002081564.3|DSIM	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC6734554|XP_039147555.1|DSIM	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC6733557|XP_016026506.1|DSIM	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC6731100|XP_002078257.3|DSIM	Cyp6a16|NP_001285631.1|DMEL
