Orthogroup	CQUI.longest_only	DSUP.longest_only
OG0000001	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI, LOC119769711|XP_038119095.1|CQUI, LOC119765936|XP_038106134.1|CQUI, LOC119766511|XP_038107028.1|CQUI, LOC119768974|XP_038116762.1|CQUI, LOC119770754|XP_038122126.1|CQUI, LOC119768917|XP_038116638.1|CQUI, LOC119766026|XP_038106289.1|CQUI, LOC119771145|XP_038122496.1|CQUI, LOC119770320|XP_038120912.1|CQUI, LOC119769345|XP_038117303.1|CQUI, LOC119766211|XP_038106574.1|CQUI, LOC119766295|XP_038106683.1|CQUI, LOC119769000|XP_038116799.1|CQUI, LOC119769267|XP_038117148.1|CQUI, LOC119768903|XP_038116616.1|CQUI, LOC119766456|XP_038106940.1|CQUI, LOC119770306|XP_038120868.1|CQUI, LOC119768973|XP_038116761.1|CQUI, LOC119766434|XP_038106910.1|CQUI	LOC119561984|XP_037731306.1|DSUP
OG0000001	LOC119765978|XP_038106214.1|CQUI	LOC119562263|XP_037731367.1|DSUP, LOC119562262|XP_037731366.1|DSUP, LOC119559638|XP_037728615.1|DSUP, LOC119559616|XP_037728581.1|DSUP, LOC119559159|XP_037728155.1|DSUP, LOC119561856|XP_037731264.1|DSUP, LOC119562326|XP_037731412.1|DSUP, LOC119562410|XP_037731533.1|DSUP, LOC119559150|XP_037728149.1|DSUP, LOC119562357|XP_037731447.1|DSUP
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000004	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI, LOC6048217|XP_001865170.2|CQUI, LOC119767631|XP_038112541.1|CQUI	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP
OG0000005	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC119559186|XP_037728175.1|DSUP, LOC119559183|XP_037728172.1|DSUP, LOC119559188|XP_037728177.1|DSUP, LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC119555653|XP_037723160.1|DSUP, LOC119554492|XP_037721353.1|DSUP, LOC119554489|XP_037721348.1|DSUP, LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP, LOC119546692|XP_037709098.1|DSUP, LOC119550735|XP_037715578.1|DSUP, LOC119546637|XP_037709013.1|DSUP, LOC119546891|XP_037709439.1|DSUP, LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP, LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC119554296|XP_037721084.1|DSUP
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC119560146|XP_037729428.1|DSUP, LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP, LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC119548006|XP_037711002.1|DSUP, LOC119559210|XP_037728209.1|DSUP, LOC119548249|XP_037711319.1|DSUP, LOC119559206|XP_037728205.1|DSUP, LOC119559227|XP_037728225.1|DSUP, LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP, LOC119559214|XP_037728212.1|DSUP, LOC119559211|XP_037728210.1|DSUP, LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP, LOC119559212|XP_037728211.1|DSUP, LOC119559205|XP_037728203.1|DSUP
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC119548250|XP_037711321.1|DSUP
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC119547947|XP_037710925.1|DSUP
OG0000010	LOC119765466|XP_038105274.1|CQUI	LOC119559216|XP_037728214.1|DSUP
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC119550822|XP_037715693.1|DSUP, LOC119550821|XP_037715691.1|DSUP, LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP, LOC119551494|XP_037716788.1|DSUP, LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC119545787|XP_037707587.1|DSUP, LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000014	LOC119766221|XP_038106588.1|CQUI	LOC119559720|XP_037728710.1|DSUP
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC119555565|XP_037722943.1|DSUP
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC119554781|XP_037721753.1|DSUP
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC119551011|XP_037715994.1|DSUP, LOC119549986|XP_037714317.1|DSUP
