Orthogroup	HILL.longest_only	Other
OG0000010	LOC119656847|XP_037919426.1|HILL	LOC120457970|XP_039501405.1|DSAN
OG0000071	LOC119647586|XP_037904523.1|HILL	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC119647586|XP_037904523.1|HILL	LOC5565474|XP_001649820.2|AAEG
OG0000126	LOC119651890|XP_037911640.1|HILL	LOC120778835|XP_039966788.1|BTRY, LOC120778837|XP_039966791.1|BTRY, LOC120778836|XP_039966789.1|BTRY
OG0000126	LOC119651890|XP_037911640.1|HILL	LOC108139473|XP_017117691.1|DELE, LOC108139427|XP_017117642.1|DELE, LOC108139437|XP_017117652.1|DELE, LOC108136176|XP_017112666.1|DELE
OG0000272	LOC119648082|XP_037905498.1|HILL	CCAP1982_LOCUS12064|CAD7003624.1|CCAP
OG0000294	LOC119660711|XP_037925282.1|HILL	LOC117134860|XP_033150003.1|DBUS
OG0000301	LOC119660745|XP_037925398.1|HILL	LOC118456217|XP_035772695.1|AALB
OG0000301	LOC119660745|XP_037925398.1|HILL	CCAP1982_LOCUS10126|CAD7001632.1|CCAP
OG0000363	LOC119647856|XP_037905052.1|HILL	LOC110187889|XP_020813037.1|DSER, LOC110189911|XP_020815836.1|DSER
OG0000363	LOC119647856|XP_037905052.1|HILL	LOC115771138|XP_030572569.1|DNOV
OG0000384	LOC119646908|XP_037903506.1|HILL	LOC111605413|XP_023179686.2|DHYD
OG0000384	LOC119646908|XP_037903506.1|HILL	LOC117191486|XP_033252231.1|DMIR
OG0000384	LOC119646908|XP_037903506.1|HILL	LOC6546858|XP_026836613.1|DERE
OG0000935	LOC119652079|XP_037911945.1|HILL	LOC115628826|XP_030380918.1|SLEB
OG0001029	LOC119654282|XP_037915492.1|HILL, LOC119651816|XP_037911534.1|HILL, LOC119648751|XP_037906502.1|HILL	LOC108085869|XP_017038119.1|DKIK
OG0001029	LOC119648440|XP_037906122.1|HILL	LOC120779334|XP_039967467.1|BTRY
OG0001119	LOC119658275|XP_037921494.1|HILL	CCAP1982_LOCUS4134|CAD6995417.1|CCAP
OG0001330	LOC119658117|XP_037921312.1|HILL	LOC120427365|XP_039448156.1|CPIP
OG0001330	LOC119658117|XP_037921312.1|HILL	LOC109397698|XP_029708398.1|AEAL
OG0001385	LOC119648519|XP_037906217.1|HILL	CCAP1982_LOCUS6307|CAD6997676.1|CCAP
OG0001410	LOC119648418|XP_037906098.1|HILL, LOC119648417|XP_037906097.1|HILL	LOC115263500|XP_029722598.1|AEAL
OG0001812	LOC119651076|XP_037910345.1|HILL	LOC108083583|XP_017034932.1|DKIK
OG0002415	LOC119659203|XP_037923099.1|HILL	LOC120423283|XP_039442983.1|CPIP
OG0002474	LOC119649201|XP_037907174.1|HILL	CCAP1982_LOCUS14635|CAD7006313.1|CCAP
OG0002474	LOC119649201|XP_037907174.1|HILL	LOC116649860|XP_032288967.1|DVIR
OG0003716	LOC119647610|XP_037904570.1|HILL	CCAP1982_LOCUS12851|CAD7004445.1|CCAP, CCAP1982_LOCUS12852|CAD7004446.1|CCAP, CCAP1982_LOCUS12848|CAD7004442.1|CCAP
