Orthogroup	BCOP.longest_only	HILL.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC119661705|XP_037927084.1|HILL, LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL, LOC119647295|XP_037904127.1|HILL, LOC119651368|XP_037910908.1|HILL, LOC119651453|XP_037911025.1|HILL, LOC119646801|XP_037903321.1|HILL, LOC119661527|XP_037926831.1|HILL, LOC119646901|XP_037903497.1|HILL, LOC119657835|XP_037920882.1|HILL
OG0000001	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP	LOC119656898|XP_037919508.1|HILL
OG0000001	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP	LOC119661654|XP_037927016.1|HILL, LOC119660048|XP_037924354.1|HILL
OG0000001	LOC119082532|XP_037047939.1|BCOP, LOC119084717|XP_037050690.1|BCOP, LOC119077196|XP_037040271.1|BCOP, LOC119084762|XP_037050721.1|BCOP, LOC119072036|XP_037033049.1|BCOP, LOC119068224|XP_037027617.1|BCOP	LOC119648955|XP_037906838.1|HILL, LOC119646169|XP_037902479.1|HILL, LOC119652051|XP_037911915.1|HILL
OG0000001	LOC119084767|XP_037050728.1|BCOP, LOC119071419|XP_037032191.1|BCOP, LOC119079853|XP_037043815.1|BCOP, LOC119083951|XP_037049655.1|BCOP, LOC119066006|XP_037024118.1|BCOP, LOC119082920|XP_037048471.1|BCOP, LOC119083910|XP_037049617.1|BCOP, LOC119066058|XP_037024178.1|BCOP, LOC119083512|XP_037049126.1|BCOP, LOC119081102|XP_037045737.1|BCOP, LOC119081228|XP_037045848.1|BCOP, LOC119076010|XP_037038490.1|BCOP	LOC119661083|XP_037926201.1|HILL, LOC119659107|XP_037922958.1|HILL, LOC119660022|XP_037924328.1|HILL, LOC119659079|XP_037922920.1|HILL, LOC119646359|XP_037902724.1|HILL, LOC119648631|XP_037906328.1|HILL, LOC119653988|XP_037915077.1|HILL, LOC119659083|XP_037922924.1|HILL, LOC119661419|XP_037926691.1|HILL, LOC119646789|XP_037903302.1|HILL, LOC119648508|XP_037906205.1|HILL, LOC119650839|XP_037909907.1|HILL, LOC119646145|XP_037902435.1|HILL, LOC119661666|XP_037927033.1|HILL, LOC119650916|XP_037910069.1|HILL, LOC119659121|XP_037922974.1|HILL, LOC119658148|XP_037921344.1|HILL, LOC119652789|XP_037913066.1|HILL, LOC119654156|XP_037915247.1|HILL, LOC119648499|XP_037906194.1|HILL, LOC119661543|XP_037926858.1|HILL, LOC119648467|XP_037906155.1|HILL, LOC119650835|XP_037909904.1|HILL
OG0000001	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC119068573|XP_037028113.1|BCOP	LOC119652775|XP_037913011.1|HILL
OG0000003	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP	LOC119659352|XP_037923328.1|HILL
OG0000003	LOC119078496|XP_037041942.1|BCOP	LOC119650643|XP_037909500.1|HILL
OG0000003	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP, LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP	LOC119646885|XP_037903446.1|HILL, LOC119646723|XP_037903233.1|HILL, LOC119660833|XP_037925635.1|HILL, LOC119646759|XP_037903266.1|HILL, LOC119646698|XP_037903192.1|HILL, LOC119646557|XP_037902962.1|HILL, LOC119661111|XP_037926234.1|HILL, LOC119646760|XP_037903267.1|HILL, LOC119646334|XP_037902688.1|HILL, LOC119661489|XP_037926782.1|HILL, LOC119661229|XP_037926382.1|HILL, LOC119646530|XP_037902923.1|HILL, LOC119646755|XP_037903262.1|HILL, LOC119646754|XP_037903261.1|HILL, LOC119651369|XP_037910874.1|HILL, LOC119647078|XP_037903763.1|HILL, LOC119646756|XP_037903263.1|HILL, LOC119646752|XP_037903258.1|HILL, LOC119646529|XP_037902921.1|HILL, LOC119646751|XP_037903257.1|HILL, LOC119647124|XP_037903838.1|HILL, LOC119646420|XP_037902794.1|HILL, LOC119646733|XP_037903242.1|HILL, LOC119646750|XP_037903256.1|HILL, LOC119661403|XP_037926660.1|HILL, LOC119646757|XP_037903265.1|HILL, LOC119646850|XP_037903399.1|HILL, LOC119646628|XP_037903064.1|HILL, LOC119661009|XP_037926085.1|HILL, LOC119661683|XP_037927054.1|HILL, LOC119646442|XP_037902820.1|HILL, LOC119646753|XP_037903264.1|HILL
