Orthogroup	DMAU.longest_only	HILL.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU, LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU, LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU, LOC117138309|XP_033156204.1|DMAU, LOC117139148|XP_033157197.1|DMAU, LOC117139149|XP_033157198.1|DMAU, LOC117140540|XP_033159421.1|DMAU, LOC117138648|XP_033156758.1|DMAU, LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU, LOC117142327|XP_033162129.1|DMAU, LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU, LOC117137412|XP_033154732.1|DMAU, LOC117138341|XP_033156269.1|DMAU, LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU, LOC117150663|XP_033173544.1|DMAU, LOC117139179|XP_033157239.1|DMAU, LOC117145744|XP_033167397.1|DMAU, LOC117145225|XP_033166688.1|DMAU, LOC117145856|XP_033167567.1|DMAU, LOC117150929|XP_033173982.1|DMAU, LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU, LOC117145160|XP_033166598.1|DMAU, LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC117140024|XP_033158645.1|DMAU	LOC119648870|XP_037906726.1|HILL, LOC119652195|XP_037912066.1|HILL
OG0000001	LOC117139036|XP_033157028.1|DMAU, LOC117149992|XP_033172772.1|DMAU, LOC117139516|XP_033157765.1|DMAU, LOC117136528|XP_033153363.1|DMAU, LOC117142606|XP_033162575.1|DMAU, LOC117137930|XP_033155574.1|DMAU	LOC119648636|XP_037906334.1|HILL
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000007	LOC117141087|XP_033160294.1|DMAU, LOC117142070|XP_033161841.1|DMAU, LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU, LOC117150742|XP_033173667.1|DMAU, LOC117136894|XP_033153899.1|DMAU, LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU, LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU, LOC117139714|XP_033158125.1|DMAU, LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU, LOC117142071|XP_033161842.1|DMAU, LOC117142072|XP_033161843.1|DMAU	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC119649591|XP_037907728.1|HILL
OG0000008	LOC117147420|XP_033170189.1|DMAU, LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU, LOC117144387|XP_033165412.1|DMAU, LOC117143719|XP_033164408.1|DMAU	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL
OG0000008	LOC117144386|XP_033165411.1|DMAU, LOC117143928|XP_033164736.1|DMAU	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL
OG0000009	LOC117145423|XP_033166959.1|DMAU, LOC117143759|XP_033164466.1|DMAU, LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU, LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU, LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC119657011|XP_037919681.1|HILL, LOC119657010|XP_037919679.1|HILL, LOC119656845|XP_037919421.1|HILL, LOC119657242|XP_037919984.1|HILL, LOC119657050|XP_037919732.1|HILL, LOC119656775|XP_037919284.1|HILL
OG0000011	LOC117148149|XP_033171274.1|DMAU, LOC117148158|XP_033171286.1|DMAU, LOC117138313|XP_033156221.1|DMAU, LOC117140362|XP_033159107.1|DMAU, LOC117142406|XP_033162250.1|DMAU, LOC117150358|XP_033173108.1|DMAU, LOC117135201|XP_033151176.1|DMAU, LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU, LOC117141063|XP_033160242.1|DMAU, LOC117141062|XP_033160241.1|DMAU, LOC117143493|XP_033164098.1|DMAU	LOC119646989|XP_037903630.1|HILL
