Orthogroup	DSEC.longest_only	DGUA.longest_only
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC6606995|XP_002031784.1|DSEC	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC116801718|XP_032578762.1|DSEC	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC6613615|XP_032570344.1|DSEC	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC117587981|XP_034134880.1|DGUA
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC6612871|XP_002037363.1|DSEC	LOC117583201|XP_034127296.1|DGUA
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC6610955|XP_032575304.1|DSEC	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC6614149|XP_002038602.2|DSEC	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC116801482|XP_032577264.1|DSEC	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC117586357|XP_034132268.1|DGUA
