Orthogroup	BCOP.longest_only	DHYD.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC115483378|XP_030080958.1|DHYD, LOC111593965|XP_023162824.1|DHYD, LOC111599673|XP_023171145.1|DHYD, LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD, LOC111600475|XP_023172354.2|DHYD, LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD, LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD, LOC111593958|XP_023162817.2|DHYD, LOC111593957|XP_023162816.2|DHYD, LOC115483355|XP_030080829.1|DHYD, LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD, LOC111594787|XP_023164011.2|DHYD, LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD, LOC111600423|XP_023172273.1|DHYD
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC119075113|XP_037037397.1|BCOP, LOC119082434|XP_037047858.1|BCOP, LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP, LOC119082423|XP_037047847.1|BCOP, LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP, LOC119070781|XP_037031155.1|BCOP	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC119075115|XP_037037399.1|BCOP, LOC119075400|XP_037037739.1|BCOP	LOC115483281|XP_030080484.1|DHYD
OG0000006	LOC119075103|XP_037037386.1|BCOP	LOC115482889|XP_030078998.1|DHYD
OG0000006	LOC119077547|XP_037040651.1|BCOP	LOC115483280|XP_030080483.1|DHYD
