Orthogroup	DSAN.longest_only	DBUS.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC108608148|XP_017854884.1|DBUS
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC108604020|XP_017848755.1|DBUS
