Orthogroup	DVIR.longest_only	AALB.longest_only
OG0000001	LOC116650083|XP_032289319.1|DVIR	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR, LOC116650307|XP_032289663.1|DVIR	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000005	LOC6630079|XP_002053089.1|DVIR	LOC118463672|XP_035786322.1|AALB, LOC118465116|XP_035788956.1|AALB, LOC118467850|XP_035794648.1|AALB, LOC118467567|XP_035794087.1|AALB
OG0000006	LOC116649805|XP_032288827.1|DVIR, LOC6637262|XP_032288828.1|DVIR, LOC116649810|XP_032288837.1|DVIR	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC6636997|XP_032288831.1|DVIR	LOC118467848|XP_035794647.1|AALB
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC6632445|XP_002056511.1|DVIR, LOC6632323|XP_002056506.1|DVIR, LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR, LOC6635767|XP_032294717.1|DVIR, LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR, LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR, LOC6626542|XP_002050752.1|DVIR, LOC6628883|XP_002051663.1|DVIR	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC116649828|XP_032288865.1|DVIR	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC118464059|XP_035786999.1|AALB
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC6624922|XP_002050777.1|DVIR, LOC6625019|XP_002050778.1|DVIR, LOC6625021|XP_002050780.1|DVIR, LOC6624921|XP_015029085.1|DVIR, LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR, LOC6627005|XP_002050771.1|DVIR, LOC6627004|XP_002050770.1|DVIR	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR, LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC116652015|XP_032295550.1|DVIR, LOC116650074|XP_032289316.1|DVIR, LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
