Orthogroup	DBIA.longest_only	DMEL.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	CG33700|NP_001027121.3|DMEL
OG0000000	LOC108029053|XP_016956604.1|DBIA	CG33679|NP_001027273.1|DMEL
OG0000000	LOC108031338|XP_016960091.1|DBIA	CG33783|NP_001027168.1|DMEL
OG0000000	LOC108029341|XP_016957023.1|DBIA	CG33775|NP_001027410.1|DMEL
OG0000000	LOC108034429|XP_016964803.1|DBIA	CG33687|NP_001027130.2|DMEL
OG0000000	LOC108034424|XP_016964798.1|DBIA	CG33690|NP_001368948.1|DMEL
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA	CG33688|NP_001027131.1|DMEL
OG0000000	LOC108034426|XP_016964799.1|DBIA	CG33689|NP_001027132.2|DMEL
OG0000000	LOC108022107|XP_016946439.1|DBIA	CG12849|NP_611969.2|DMEL
OG0000000	LOC108024999|XP_016950744.1|DBIA	CG33773|NP_001027213.1|DMEL
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	CG33723|NP_001027235.1|DMEL
OG0000000	LOC108031000|XP_016959689.1|DBIA	CG33658|NP_001027209.1|DMEL
OG0000000	LOC108030080|XP_016958186.1|DBIA	CG33463|NP_995846.2|DMEL
OG0000000	LOC108033578|XP_016963412.1|DBIA	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL
OG0000000	LOC108025419|XP_016951390.1|DBIA	CG33483|NP_001189327.1|DMEL
OG0000000	LOC108032345|XP_016961644.1|DBIA	CG33648|NP_001027265.2|DMEL
OG0000000	LOC108033274|XP_016963030.1|DBIA	CG33928|NP_001027276.1|DMEL
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108024473|XP_016949882.1|DBIA	CG14518|NP_651653.2|DMEL
OG0000000	LOC108032904|XP_016962446.1|DBIA	CG33927|NP_001027147.1|DMEL
OG0000000	LOC108034432|XP_016964806.1|DBIA	CG33796|NP_001027128.1|DMEL
OG0000000	LOC108032244|XP_016961600.1|DBIA	CG33725|NP_001027125.1|DMEL
OG0000002	LOC108036386|XP_016967980.1|DBIA	CG5550|NP_001246376.1|DMEL
OG0000002	LOC108022558|XP_016947041.1|DBIA	CG30281|NP_726164.1|DMEL
OG0000002	LOC108022153|XP_016946484.1|DBIA	CG30280|NP_611641.6|DMEL
OG0000002	LOC108028911|XP_016956419.1|DBIA	CG31832|NP_723894.2|DMEL
OG0000002	LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	CG7668|NP_649170.1|DMEL
OG0000003	LOC108030370|XP_016958727.1|DBIA	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC108030025|XP_016958054.1|DBIA	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC108024348|XP_016949739.1|DBIA	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC108030024|XP_016958053.1|DBIA	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC108030125|XP_016958318.1|DBIA	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC108030172|XP_016958401.1|DBIA	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC108029856|XP_016957835.1|DBIA	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC108030395|XP_016958768.1|DBIA	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC108030173|XP_016958402.1|DBIA	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC108029368|XP_016957084.1|DBIA	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC108034204|XP_016964524.1|DBIA	Cyp6a16|NP_001285631.1|DMEL
OG0000005	LOC108021908|XP_016946219.1|DBIA	His2B_CG33910|NP_001027283.1|DMEL
OG0000006	LOC108021907|XP_016946218.1|DBIA	His2A_CG33850|NP_001027361.1|DMEL
OG0000007	LOC108028761|XP_016956223.1|DBIA	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC108028706|XP_016956144.1|DBIA	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC108028547|XP_016955936.1|DBIA	yip7|NP_523944.1|DMEL
OG0000007	LOC108028546|XP_016955935.1|DBIA	CG10477|NP_648010.1|DMEL
OG0000007	LOC108027672|XP_016954706.1|DBIA	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC108029358|XP_016957069.1|DBIA	Jon44E|NP_724699.1|DMEL
OG0000007	LOC108025402|XP_016951367.1|DBIA	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL
OG0000007	LOC108027675|XP_016954708.1|DBIA	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA	Jon66Cii|NP_648217.1|DMEL
OG0000007	LOC108034518|XP_016964930.1|DBIA	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC108027854|XP_016954941.1|DBIA	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC108028309|XP_016955521.1|DBIA	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC108028310|XP_016955522.1|DBIA	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC108032174|XP_016961516.1|DBIA	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC108034858|XP_016965498.1|DBIA	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC108034855|XP_016965493.1|DBIA	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC108033465|XP_016963291.1|DBIA	Crys|NP_476906.1|DMEL
OG0000008	LOC108034860|XP_016965500.1|DBIA	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC108029542|XP_016957386.1|DBIA	Cpr5C|NP_572266.1|DMEL
OG0000008	LOC108027365|XP_016954278.1|DBIA	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC108027095|XP_016953802.1|DBIA	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC108027071|XP_016953774.1|DBIA	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC108031158|XP_016959863.1|DBIA	CG11453|NP_650832.1|DMEL
OG0000009	LOC108032245|XP_016961597.1|DBIA	CG11391|NP_650830.1|DMEL
OG0000009	LOC108031475|XP_016960425.1|DBIA	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL
OG0000009	LOC108032170|XP_016961513.1|DBIA	CG11407|NP_650831.1|DMEL
OG0000009	LOC108028108|XP_016955244.1|DBIA	CG5568|NP_647992.1|DMEL
OG0000009	LOC108022184|XP_016946525.1|DBIA	CG4563|NP_611913.1|DMEL
OG0000009	LOC108032134|XP_016961458.1|DBIA	CG4830|NP_650160.1|DMEL
OG0000009	LOC108023117|XP_016947872.1|DBIA	CG8834|NP_610779.1|DMEL
OG0000010	LOC108024778|XP_016950383.1|DBIA	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA	His4_CG33899|NP_001027307.1|DMEL
OG0000011	LOC108027694|XP_016954732.1|DBIA	CG15436|NP_608840.1|DMEL
OG0000011	LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA	Neu2|NP_649316.1|DMEL
OG0000011	LOC108024287|XP_016949675.1|DBIA	CG4318|NP_572860.2|DMEL
OG0000011	LOC108035648|XP_016966843.1|DBIA	CG17361|NP_648678.3|DMEL
OG0000011	LOC108035647|XP_016966842.1|DBIA	CG17359|NP_648679.1|DMEL
OG0000011	LOC108024710|XP_016950292.1|DBIA	CG8319|NP_649920.2|DMEL
OG0000012	LOC108026825|XP_016953482.1|DBIA	CG9416|NP_611415.2|DMEL
OG0000012	LOC108026824|XP_016953480.1|DBIA	CG10051|NP_611414.1|DMEL
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	CG11961|NP_725876.1|DMEL
OG0000012	LOC108026906|XP_016953604.1|DBIA	CG10062|NP_001261089.1|DMEL
OG0000012	LOC108026886|XP_016953577.1|DBIA	CG10081|NP_611418.1|DMEL
OG0000012	LOC108026941|XP_016953643.1|DBIA	CG10073|NP_001261090.1|DMEL
OG0000012	LOC108022093|XP_016946425.1|DBIA	CG30047|NP_725141.1|DMEL
OG0000012	LOC108022195|XP_016946536.1|DBIA	CG30049|NP_725142.3|DMEL
OG0000012	LOC108023104|XP_016947858.1|DBIA	CG30043|NP_725143.1|DMEL
OG0000012	LOC108022979|XP_016947693.1|DBIA	CG33012|NP_788335.2|DMEL
OG0000012	LOC108022976|XP_016947689.1|DBIA	CG13160|NP_001260918.1|DMEL
OG0000013	LOC108036445|XP_016968074.1|DBIA	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC108030851|XP_016959521.1|DBIA	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC108031414|XP_016960303.1|DBIA	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC108034990|XP_016965812.1|DBIA	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC108024443|XP_016949852.1|DBIA	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC108026153|XP_016952377.1|DBIA	Hsp68|NP_524474.1|DMEL
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000015	LOC108033679|XP_016963624.1|DBIA	lectin-37Db|NP_001188847.1|DMEL
OG0000015	LOC108029004|XP_016956536.1|DBIA	lectin-24A|NP_652637.1|DMEL
OG0000015	LOC108028936|XP_016956444.1|DBIA	CG43797|NP_001260012.1|DMEL
OG0000015	LOC108032335|XP_016961635.1|DBIA	lectin-22C|NP_001137766.1|DMEL
OG0000015	LOC108032334|XP_016961634.1|DBIA	CG15358|NP_608629.3|DMEL
OG0000015	LOC108033354|XP_016963153.1|DBIA	CG15818|NP_609116.1|DMEL
OG0000015	LOC108030294|XP_016958615.1|DBIA	CG7763|NP_001356891.1|DMEL
OG0000016	LOC108031488|XP_016960465.1|DBIA	Act87E|NP_477091.1|DMEL
OG0000016	LOC108022510|XP_016946968.1|DBIA	Act57B|NP_523800.1|DMEL
OG0000016	LOC108032049|XP_016961350.1|DBIA	Arp1|NP_524331.2|DMEL
OG0000016	LOC108036535|XP_016968248.1|DBIA	Arp53D|NP_477037.2|DMEL
OG0000016	LOC108031387|XP_016960277.1|DBIA	Act5C|NP_511052.1|DMEL
OG0000016	LOC108024269|XP_016949648.1|DBIA	Act42A|NP_523625.1|DMEL
OG0000016	LOC108026160|XP_016952383.1|DBIA	Act88F|NP_524367.1|DMEL
OG0000016	LOC108030823|XP_016959429.1|DBIA	Act79B|NP_524210.1|DMEL
