Orthogroup	DELE.longest_only	BCOP.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE, LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE, LOC108135022|XP_017111043.1|DELE, LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE, LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE, LOC108144294|XP_017124470.1|DELE, LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE, LOC108150089|XP_017133542.1|DELE, LOC108143736|XP_017123759.1|DELE, LOC108142886|XP_017122451.1|DELE, LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE, LOC108148604|XP_017131171.1|DELE, LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE, LOC108147230|XP_017129111.1|DELE, LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE, LOC108135485|XP_017111717.1|DELE, LOC108141030|XP_017119608.1|DELE	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC108138226|XP_017115837.1|DELE, LOC108149858|XP_017133226.1|DELE, LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC119076785|XP_037039644.1|BCOP
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP
OG0000007	LOC108135575|XP_017111853.1|DELE, LOC108142600|XP_017122060.1|DELE, LOC108142393|XP_017121722.1|DELE, LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE, LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE, LOC108148444|XP_017130968.1|DELE, LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE, LOC108138842|XP_017116842.1|DELE, LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE, LOC108142395|XP_017121724.1|DELE, LOC108142396|XP_017121725.1|DELE	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC108137036|XP_017114024.1|DELE, LOC108136709|XP_017113523.1|DELE, LOC108144089|XP_017124230.1|DELE, LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE, LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE, LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
