Orthogroup	CQUI.longest_only	SLEB.longest_only
OG0000001	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI	LOC115633656|XP_030386961.1|SLEB
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC115630281|XP_030382677.1|SLEB, LOC115630364|XP_030382757.1|SLEB, LOC115630328|XP_030382725.1|SLEB
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC115630278|XP_030382673.1|SLEB
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC115629771|XP_030382185.1|SLEB, LOC115633152|XP_030386421.1|SLEB, LOC115633153|XP_030386422.1|SLEB, LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB, LOC115633111|XP_030386356.1|SLEB, LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB, LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB, LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC115628403|XP_030380351.1|SLEB
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC115624173|XP_030374629.1|SLEB, LOC115634672|XP_030388391.1|SLEB, LOC115624028|XP_030374465.1|SLEB, LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB, LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC115630359|XP_030382753.1|SLEB, LOC115633588|XP_030386892.1|SLEB, LOC115633544|XP_030386861.1|SLEB, LOC115630347|XP_030382740.1|SLEB, LOC115633455|XP_030386770.1|SLEB, LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB, LOC115630332|XP_030382730.1|SLEB
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC6042744|XP_038105438.1|CQUI	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI	LOC115634447|XP_030388017.1|SLEB
OG0000018	LOC6049793|XP_038119134.1|CQUI	LOC115633159|XP_030386430.1|SLEB
OG0000019	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC6039899|XP_001849397.1|CQUI	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC6036302|XP_038116279.1|CQUI	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC6033026|XP_038122145.1|CQUI	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC6039972|XP_001849462.1|CQUI	LOC115625208|XP_030376037.1|SLEB, LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC6037178|XP_001847112.1|CQUI	LOC115634544|XP_030388214.1|SLEB, LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB, LOC115624802|XP_030375508.1|SLEB, LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB
