Orthogroup	SLEB.longest_only	DSAN.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN, LOC120454013|XP_039494937.1|DSAN, LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC120447883|XP_039485428.1|DSAN, LOC120447886|XP_039485431.1|DSAN, LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC120454169|XP_039495171.1|DSAN
OG0000001	LOC115633656|XP_030386961.1|SLEB	LOC120449510|XP_039487947.1|DSAN
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC120448038|XP_039485719.1|DSAN
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC120458775|XP_039502488.1|DSAN
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN
OG0000005	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC115630354|XP_030382747.1|SLEB	LOC120457941|XP_039501382.1|DSAN
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC115630264|XP_030382657.1|SLEB	LOC120457680|XP_039501103.1|DSAN
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN
OG0000006	LOC115630363|XP_030382756.1|SLEB	LOC120457674|XP_039501100.1|DSAN
