Orthogroup	CCAP.longest_only	DMIR.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC108150869|XP_017134661.1|DMIR
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR, LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC117185812|XP_033243800.1|DMIR, LOC108165373|XP_017156898.2|DMIR, LOC108151290|XP_017135310.1|DMIR, LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR, LOC108153842|XP_033245237.1|DMIR, LOC108156429|XP_017143371.1|DMIR, LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR, LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR, LOC108154033|XP_017139614.1|DMIR, LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR, LOC108153951|XP_017139538.1|DMIR, LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR, LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR, LOC108154608|XP_017140414.2|DMIR, LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR, LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR, LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR, LOC108153868|XP_017139455.1|DMIR, LOC108154010|XP_033246058.1|DMIR
OG0000001	CCAP1982_LOCUS14762|CAD7006443.1|CCAP	LOC117193719|XP_033254335.1|DMIR, LOC117190985|XP_033251856.1|DMIR, LOC117188067|XP_033247232.1|DMIR, LOC117186429|XP_033243124.1|DMIR, LOC117186350|XP_033242949.1|DMIR, LOC117190965|XP_033251845.1|DMIR, LOC117193360|XP_033253966.1|DMIR, LOC117190662|XP_033251608.1|DMIR, LOC117193513|XP_033254148.1|DMIR, LOC117193461|XP_033254111.1|DMIR, LOC117188882|XP_033249301.1|DMIR, LOC117190672|XP_033251629.1|DMIR
OG0000001	CCAP1982_LOCUS9920|CAD7001423.1|CCAP	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR
OG0000001	CCAP1982_LOCUS10266|CAD7001775.1|CCAP	LOC117186040|XP_033241993.1|DMIR
OG0000001	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP, CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP	LOC117190783|XP_033251735.1|DMIR
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC108152350|XP_017137109.1|DMIR
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC108161412|XP_017151153.2|DMIR
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC108161232|XP_017150945.1|DMIR
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC108160528|XP_017150077.1|DMIR
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC108160529|XP_017150078.1|DMIR, LOC108160375|XP_017149841.1|DMIR
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC108160275|XP_017149646.1|DMIR
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC108163634|XP_017154532.1|DMIR
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC117187301|XP_033245562.1|DMIR
OG0000006	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC117187206|XP_033245270.1|DMIR
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC108156704|XP_017143842.2|DMIR
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC108153040|XP_017138288.1|DMIR
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC108154982|XP_017141010.1|DMIR
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC108151537|XP_017135681.1|DMIR
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC108151536|XP_017135679.1|DMIR
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108151539|XP_017135683.2|DMIR
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108154402|XP_017140161.1|DMIR
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108153895|XP_033244232.1|DMIR
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC108154515|XP_017140305.2|DMIR
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC108153896|XP_017139483.1|DMIR
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC108154491|XP_017140280.1|DMIR
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108157813|XP_017145500.1|DMIR
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC117187312|XP_033245576.1|DMIR
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108159199|XP_017147755.1|DMIR
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108151516|XP_033243870.1|DMIR
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC117193489|XP_033254131.1|DMIR, LOC117187336|XP_033245660.1|DMIR, LOC117194202|XP_033254747.1|DMIR, LOC117193727|XP_033254343.1|DMIR, LOC117186505|XP_033243277.1|DMIR, LOC117193487|XP_033254129.1|DMIR, LOC117193488|XP_033254130.1|DMIR, LOC117187283|XP_033245529.1|DMIR, LOC117188923|XP_033249427.1|DMIR, LOC117190995|XP_033251866.1|DMIR, LOC117190996|XP_033251868.1|DMIR, LOC117187284|XP_033245536.1|DMIR, LOC117190994|XP_033251864.1|DMIR, LOC117193214|XP_033253857.1|DMIR, LOC117188071|XP_033247263.1|DMIR, LOC117193280|XP_033253914.1|DMIR, LOC117190484|XP_033251443.1|DMIR, LOC117190998|XP_033251870.1|DMIR, LOC117190997|XP_033251869.1|DMIR, LOC117190182|XP_033251135.1|DMIR, LOC117190999|XP_033251871.1|DMIR, LOC117194182|XP_033254730.1|DMIR, LOC117194879|XP_033255231.1|DMIR, LOC117188041|XP_033247100.1|DMIR, LOC117187990|XP_033246959.1|DMIR
OG0000014	CCAP1982_LOCUS11701|CAD7003239.1|CCAP	LOC117187335|XP_033245659.1|DMIR
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC108156024|XP_017142762.1|DMIR, LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108155657|XP_017142098.1|DMIR
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108156493|XP_017143475.1|DMIR
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108150995|XP_017134834.1|DMIR
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108160150|XP_017149453.1|DMIR, LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108150828|XP_017134625.1|DMIR
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108150791|XP_017134583.1|DMIR
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC108150854|XP_017134645.1|DMIR
OG0000018	CCAP1982_LOCUS12554|CAD7004133.1|CCAP	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
