Orthogroup	DSUZ.longest_only	DALB.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ, LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ, LOC118878125|XP_036675508.1|DSUZ, LOC108012145|XP_036675462.1|DSUZ, LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ, LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ, LOC108011960|XP_036678587.1|DSUZ, LOC108012138|XP_036675463.1|DSUZ, LOC108012139|XP_036675579.1|DSUZ, LOC108012154|XP_036675464.1|DSUZ, LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ, LOC108011579|XP_036673946.1|DSUZ, LOC108013429|XP_016934786.2|DSUZ	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ	LOC117570317|XP_034107750.1|DALB
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC117573170|XP_034112033.1|DALB
OG0000001	LOC118876749|XP_016938664.1|DSUZ, LOC108020087|XP_016943677.1|DSUZ, LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC108016449|XP_016938590.2|DSUZ, LOC108011106|XP_016931667.2|DSUZ, LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC117565641|XP_034100743.1|DALB
