Orthogroup	AAEG.longest_only	DGUA.longest_only
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000004	LOC110678209|XP_021706524.1|AAEG	LOC117591774|XP_034140974.1|DGUA
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG	LOC117581361|XP_034124384.1|DGUA
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC110679772|XP_021711194.1|AAEG, LOC110678357|XP_021706810.1|AAEG, LOC110678358|XP_021706811.1|AAEG, LOC110679780|XP_021711203.1|AAEG, LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG, LOC110679774|XP_021711197.1|AAEG	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC117587429|XP_034133994.1|DGUA, LOC117587428|XP_034133991.1|DGUA, LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC117579400|XP_034121171.1|DGUA
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC117586341|XP_034132234.1|DGUA, LOC117586454|XP_034132388.1|DGUA, LOC117585408|XP_034130767.1|DGUA, LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA, LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA, LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC110678359|XP_021706812.1|AAEG	LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC5578499|XP_001663888.1|AAEG	LOC117591671|XP_034140885.1|DGUA
