Orthogroup	DMEL.longest_only	DSUZ.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	CG33679|NP_001027273.1|DMEL	LOC108013696|XP_016935107.1|DSUZ
OG0000000	CG33783|NP_001027168.1|DMEL	LOC108013925|XP_016935418.2|DSUZ
OG0000000	CG33775|NP_001027410.1|DMEL	LOC108019563|XP_016942889.1|DSUZ
OG0000000	CG33687|NP_001027130.2|DMEL	LOC118877230|XP_036670644.1|DSUZ
OG0000000	CG33690|NP_001368948.1|DMEL	LOC108007474|XP_036670349.1|DSUZ
OG0000000	CG33688|NP_001027131.1|DMEL	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ
OG0000000	CG33689|NP_001027132.2|DMEL	LOC108007475|XP_016926645.1|DSUZ
OG0000000	CG12849|NP_611969.2|DMEL	LOC108008220|XP_016927499.2|DSUZ
OG0000000	CG33654|NP_001027165.1|DMEL	LOC108021133|XP_036668720.1|DSUZ
OG0000000	CG33773|NP_001027213.1|DMEL	LOC108012145|XP_036675462.1|DSUZ
OG0000000	CG33723|NP_001027235.1|DMEL	LOC108016521|XP_036671132.1|DSUZ
OG0000000	CG33463|NP_995846.2|DMEL	LOC108017700|XP_016940298.1|DSUZ
OG0000000	CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL	LOC108020024|XP_036672415.1|DSUZ
OG0000000	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL	LOC108011960|XP_036678587.1|DSUZ
OG0000000	CG33483|NP_001189327.1|DMEL	LOC108012154|XP_036675464.1|DSUZ
OG0000000	CG33648|NP_001027265.2|DMEL	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	CG33928|NP_001027276.1|DMEL	LOC108013429|XP_016934786.2|DSUZ
OG0000000	CG33453|NP_995888.1|DMEL	LOC108017737|XP_016940334.1|DSUZ
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	CG14518|NP_651653.2|DMEL	LOC108020157|XP_036673587.1|DSUZ
OG0000000	CG33927|NP_001027147.1|DMEL	LOC118878061|XP_036675143.1|DSUZ
OG0000000	CG33796|NP_001027128.1|DMEL	LOC108007479|XP_036670397.1|DSUZ
OG0000000	CG33795|NP_001027129.2|DMEL	LOC108007497|XP_016926669.2|DSUZ
OG0000000	CG33725|NP_001027125.1|DMEL	LOC108021799|XP_036676928.1|DSUZ
OG0000002	CG5550|NP_001246376.1|DMEL	LOC108008721|XP_016928110.1|DSUZ
OG0000002	CG30281|NP_726164.1|DMEL	LOC108009088|XP_016928634.1|DSUZ
OG0000002	CG30280|NP_611641.6|DMEL	LOC108009087|XP_016928633.1|DSUZ
OG0000002	CG31832|NP_723894.2|DMEL	LOC108011106|XP_016931667.2|DSUZ
OG0000002	CG7668|NP_649170.1|DMEL	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC108008945|XP_016928345.1|DSUZ
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC108008944|XP_016928343.1|DSUZ
OG0000003	Cyp6a18|NP_651563.1|DMEL	LOC118877697|XP_036673424.1|DSUZ
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC108008943|XP_016928342.1|DSUZ
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC108018006|XP_016940848.1|DSUZ
OG0000003	Cyp6a23|NP_611000.2|DMEL	LOC108008949|XP_016928349.1|DSUZ
OG0000003	Cyp6a17|NP_652018.1|DMEL	LOC108008948|XP_016928348.1|DSUZ
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC108008950|XP_016928350.1|DSUZ
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC108019593|XP_016942923.1|DSUZ
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC108007096|XP_016926191.1|DSUZ
OG0000005	His2B_CG33910|NP_001027283.1|DMEL	LOC118879641|XP_036678429.1|DSUZ
OG0000005	His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL	LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ
OG0000005	His2B_CG33884|NP_001027345.1|DMEL	LOC118879258|XP_036678034.1|DSUZ
OG0000005	His2B_CG33898|NP_001027310.1|DMEL	LOC118879259|XP_036678035.1|DSUZ
OG0000005	His2B_CG33896|NP_001027315.1|DMEL	LOC118877313|XP_036671386.1|DSUZ
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC118879645|XP_036678432.1|DSUZ
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC118877416|XP_036672028.1|DSUZ
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC108013025|XP_016934104.1|DSUZ
OG0000007	yip7|NP_523944.1|DMEL	LOC108013029|XP_016934109.1|DSUZ
OG0000007	CG10477|NP_648010.1|DMEL	LOC108013028|XP_016934108.1|DSUZ
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC118879795|XP_036678702.1|DSUZ
OG0000007	Jon44E|NP_724699.1|DMEL	LOC108019834|XP_016943342.1|DSUZ
OG0000007	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL	LOC108017241|XP_036675632.1|DSUZ
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC118876800|XP_036668611.1|DSUZ
OG0000007	Jon66Cii|NP_648217.1|DMEL	LOC108012353|XP_016933194.1|DSUZ
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC108012354|XP_016933195.2|DSUZ
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC108013030|XP_016934110.1|DSUZ
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC108014183|XP_016935707.1|DSUZ
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC108020044|XP_016943629.1|DSUZ
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC118877368|XP_036671791.1|DSUZ
OG0000008	Crys|NP_476906.1|DMEL	LOC108007042|XP_016926141.1|DSUZ
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC108020009|XP_016943583.1|DSUZ
OG0000008	Cpr5C|NP_572266.1|DMEL	LOC108011129|XP_016931690.1|DSUZ
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC108014242|XP_016935768.1|DSUZ
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC108014245|XP_016935771.2|DSUZ
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC108006378|XP_036675047.1|DSUZ
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC108014235|XP_016935760.2|DSUZ
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC108014237|XP_016935761.1|DSUZ
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC118878011|XP_036674950.1|DSUZ
OG0000009	CG11453|NP_650832.1|DMEL	LOC108014185|XP_016935709.1|DSUZ
OG0000009	CG11391|NP_650830.1|DMEL	LOC108014181|XP_016935705.2|DSUZ
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL	LOC108015574|XP_036672879.1|DSUZ
OG0000009	CG11407|NP_650831.1|DMEL	LOC108014176|XP_016935699.1|DSUZ
OG0000009	CG5568|NP_647992.1|DMEL	LOC108011415|XP_036670407.1|DSUZ
OG0000009	CG4563|NP_611913.1|DMEL	LOC108008708|XP_016928093.1|DSUZ
OG0000009	CG4830|NP_650160.1|DMEL	LOC108019245|XP_036673765.1|DSUZ
OG0000009	CG8834|NP_610779.1|DMEL	LOC108008467|XP_016927811.1|DSUZ
