Orthogroup	DPSE.longest_only	DKIK.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC6896908|XP_033233090.1|DPSE	LOC108085530|XP_017037652.1|DKIK
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC26532949|XP_015039423.1|DPSE	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC108086044|XP_017038352.1|DKIK
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC6897749|XP_033232309.1|DPSE	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC108077339|XP_017026117.1|DKIK
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC108073603|XP_017020784.1|DKIK
