Orthogroup	DKIK.longest_only	DBUS.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC108598887|XP_017841137.1|DBUS
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC108597142|XP_017839023.1|DBUS
